policy,type,episodes,return_mean,return_std,iou_mean,iou_std,cons_mean,cons_std,cost_mean,cost_std
rl_greedy_g7_gru_last,rl_agent,3,307.38395933333334,101.14711336401908,0.9434386692012867,0.00229174611617232,0.9652613333333333,0.003624759900094535,0.2047796666666667,0.05693656654851375
rl_greedy_g2_double_dueling_last,rl_agent,3,305.71526466666666,102.90982008427348,0.9241725776618096,0.009383160930833086,0.967146,0.002500045599584161,0.16733066666666666,0.018757679209681927
rl_greedy_g3_nstep_last,rl_agent,3,302.95436566666666,95.72507216931719,0.9322419131207157,0.021215646773815464,0.9645386666666668,0.0032742712675240147,0.20194466666666666,0.028228881669902065
rl_greedy_g1_vanilla_last,rl_agent,3,302.3870263333333,103.54239368631863,0.9041387750493589,0.0240378216912239,0.9666153333333334,0.00469212002546112,0.14038333333333333,0.03382469289340752
rl_greedy_g4_per_last,rl_agent,3,300.5235553333334,103.63713482524207,0.9125076865565914,0.00450985587426581,0.9669383333333332,0.00511049257247608,0.18016600000000002,0.03712311628891088
rl_greedy_g5_softq_last,rl_agent,3,288.10541033333334,114.14944810291338,0.8623894833836202,0.029843251275638968,0.9664943333333333,0.0052078865515037065,0.16272533333333333,0.002413630115268988
rl_greedy_g6_c51_last,rl_agent,3,273.13208633333335,88.73607080015931,0.919991408679033,0.0482170658887742,0.9769356666666668,0.0058397328991430025,0.41342233333333334,0.20011930437699738
periodic_5,non_learning,3,307.09970433333336,109.07394428595528,0.9361730651888921,0.0029361782777556533,0.9648146666666667,0.0046875847014569635,0.20022666666666666,0.00039259818304894153
flow_only,non_learning,3,218.775088,90.90669312730799,0.6964057200367307,0.04565914630192374,1.0,0.0,0.25,0.0
always_full,baseline,3,230.533136,82.18150688973195,0.9999994128756305,1.290733394588619e-07,0.9670296666666666,0.0031692207769944527,1.0,0.0
