step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.982926,0.447075,0.00008000,1000,,,,-0.13953196,0.91725928,147.237974,0.96125916,0.92956172,86.100000,0.348000,5
2000,0.965835,0.443138,0.00007999,2000,0.06271694,0.25916622,0.86090096,7.50358820,7.44916964,145.430294,0.95529407,0.91835342,85.425000,0.343500,10
3000,0.948744,0.431552,0.00007989,3000,0.22168965,0.51321984,1.21531247,18.68654442,18.79296875,137.234812,0.96320483,0.91984620,77.816667,0.327852,15
4000,0.931653,0.423946,0.00007970,4000,0.49971057,0.86579344,1.68533776,28.39964294,28.01688957,136.951942,0.96557883,0.91447610,76.312500,0.322957,21
5000,0.914563,0.415921,0.00007941,5000,0.78506453,1.18428769,1.92428671,36.24665070,36.09467697,138.363990,0.96672248,0.91563313,74.912500,0.317707,26
6000,0.897472,0.406509,0.00007902,6000,1.03068732,1.44776053,2.09219160,42.55658340,42.43360901,140.003371,0.96937787,0.91728823,73.412500,0.310207,31
7000,0.880381,0.396234,0.00007855,7000,1.23348914,1.66108333,2.26876439,48.32641602,48.50326157,145.867319,0.96385701,0.90465533,76.437500,0.309318,36
8000,0.863290,0.382021,0.00007797,8000,1.42481311,1.85935400,2.34551229,52.92247009,52.41553879,150.908626,0.96033798,0.90918796,76.025000,0.300750,41
9000,0.846199,0.370246,0.00007731,9000,1.56669307,2.00654139,2.40456829,57.25387573,57.45786667,150.301353,0.95723735,0.89955444,74.775000,0.296000,46
10000,0.829108,0.358959,0.00007656,10000,1.67580462,2.11926983,2.45502215,60.11827469,60.39635086,151.974054,0.95772151,0.90237960,74.150000,0.294000,51
11000,0.812017,0.336962,0.00007572,11000,1.79555555,2.24109369,2.47679964,63.05053711,63.30973434,143.298302,0.96502834,0.92705914,65.725000,0.285484,58
12000,0.794926,0.320357,0.00007479,12000,1.92123197,2.36937282,2.55753958,65.99212646,65.83484650,141.194777,0.96978517,0.93377124,62.725000,0.276075,63
13000,0.777835,0.303632,0.00007378,13000,2.00000114,2.44984517,2.57833166,67.43472290,66.38942719,142.709650,0.97084295,0.93270359,60.800000,0.265575,68
14000,0.760744,0.287957,0.00007268,14000,2.05505083,2.50668773,2.61501522,69.14967346,69.32992554,142.761739,0.96999776,0.92676470,60.500000,0.264325,73
15000,0.743653,0.266657,0.00007151,15000,2.08583235,2.53765561,2.64179954,70.59156036,71.02512360,156.370073,0.96664298,0.89946516,67.337500,0.266000,79
16000,0.726563,0.250000,0.00007026,16000,2.14138796,2.59390617,2.64344856,71.39176178,71.00326538,157.052776,0.96392843,0.89578803,66.462500,0.261250,84
17000,0.709472,0.250000,0.00006894,17000,2.15647214,2.60940367,2.66875096,72.50688934,71.36319733,159.477264,0.96417740,0.90121875,65.262500,0.255250,89
18000,0.692381,0.250000,0.00006755,18000,2.22747868,2.68090036,2.66653953,73.65280914,73.41515350,158.834822,0.96367695,0.89198913,63.287500,0.246312,94
19000,0.675290,0.250000,0.00006610,19000,2.23559041,2.68951109,2.71057292,74.14789581,74.36209106,163.247130,0.96006965,0.89560133,62.775000,0.240312,99
20000,0.658199,0.250000,0.00006458,20000,2.27499498,2.72970063,2.70743113,74.91242218,73.95178223,163.183183,0.95951898,0.89253519,61.137500,0.237312,104
21000,0.641108,0.250000,0.00006300,21000,2.25643793,2.71125039,2.67404375,75.83072662,75.72076416,161.133819,0.95762773,0.88069462,59.862500,0.233312,109
22000,0.624017,0.250000,0.00006137,22000,2.27606631,2.73111918,2.68791430,75.92977142,76.45233917,161.897630,0.95794413,0.88272252,58.587500,0.227250,114
23000,0.606926,0.250000,0.00005968,23000,2.28471000,2.73984781,2.70001010,76.18448639,76.43949890,162.289628,0.96109720,0.88518775,57.537500,0.220530,119
24000,0.589835,0.250000,0.00005795,24000,2.29303835,2.74816652,2.74199786,77.29973602,76.67908478,148.752013,0.96436573,0.87863977,51.325000,0.198744,125
25000,0.572744,0.250000,0.00005618,25000,2.29457829,2.75016575,2.71495952,77.13586426,77.08191681,148.181958,0.96589270,0.87863076,50.675000,0.195679,130
