epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1453,1.47039,4.13349,1.32963,0.00283,1,0.97391,0.75827,0.76762,4.13758,0.80986,0.00038,0.00038,0.00038
2,34.8791,0.95536,2.61098,0.89502,0.00283,1,0.995,0.71295,0.97633,4.04388,0.84933,0.000764556,0.000764556,0.000764556
3,44.3198,0.95259,2.54435,0.87171,0.05552,0.58824,0.24002,0.0569,1.21534,5.38567,1.40511,0.00113327,0.00113327,0.00113327
4,54.0337,0.88926,2.30117,0.8682,0.03251,0.05882,0.04133,0.00839,2.74324,11.6546,3.68284,0.00148615,0.00148615,0.00148615
5,63.8689,0.97862,2.30305,0.91062,0.01383,0.08824,0.00305,0.00042,2.10124,10.5903,2.4767,0.00182318,0.00182318,0.00182318
6,73.6729,1.11831,2.69136,1.08315,0.96917,0.92472,0.97185,0.71361,0.96926,3.66461,1.06969,0.001802,0.001802,0.001802
7,83.1736,0.91088,2.28736,1.04344,0.99386,0.88235,0.93548,0.69718,1.04423,3.54921,1.1454,0.0017624,0.0017624,0.0017624
8,92.6101,0.77855,1.88354,0.9505,0.90883,0.94118,0.97913,0.72259,0.87915,3.62071,1.02089,0.0017228,0.0017228,0.0017228
9,102.403,0.76928,1.72893,0.93279,0.97143,0.99998,0.98157,0.7455,0.86569,2.96341,1.00391,0.0016832,0.0016832,0.0016832
10,112.125,0.69172,1.44044,0.90546,0.9953,1,0.995,0.79587,0.75987,2.34676,0.93036,0.0016436,0.0016436,0.0016436
11,122.075,0.6034,1.28802,0.88587,0.99741,1,0.995,0.7844,0.71928,1.62214,0.94417,0.001604,0.001604,0.001604
12,132.106,0.57405,1.19367,0.86935,0.9978,1,0.995,0.80564,0.74626,1.50901,0.97235,0.0015644,0.0015644,0.0015644
13,142.071,0.55558,1.12659,0.86368,0.9985,1,0.995,0.84067,0.60552,1.34939,0.88959,0.0015248,0.0015248,0.0015248
14,152.181,0.50533,1.05856,0.85197,0.99846,1,0.995,0.84118,0.58238,1.1576,0.8928,0.0014852,0.0014852,0.0014852
15,162.164,0.45774,0.89212,0.84691,0.99835,1,0.995,0.86096,0.55963,1.11351,0.88437,0.0014456,0.0014456,0.0014456
16,172.23,0.44683,0.85473,0.83565,0.99839,1,0.995,0.86411,0.53761,1.0183,0.88379,0.001406,0.001406,0.001406
17,182.037,0.4266,0.7809,0.83545,0.99832,1,0.995,0.83378,0.58992,1.02558,0.91566,0.0013664,0.0013664,0.0013664
18,191.825,0.39981,0.73712,0.82517,0.99832,1,0.995,0.84009,0.57683,0.94314,0.89835,0.0013268,0.0013268,0.0013268
19,201.583,0.38546,0.68696,0.82512,0.99831,1,0.995,0.88293,0.54683,0.79845,0.88123,0.0012872,0.0012872,0.0012872
20,211.317,0.37873,0.64591,0.81766,0.99828,1,0.995,0.87751,0.53204,0.80874,0.87583,0.0012476,0.0012476,0.0012476
21,221.074,0.35768,0.60865,0.81465,0.99829,1,0.995,0.85648,0.53642,0.76625,0.87164,0.001208,0.001208,0.001208
22,230.842,0.34149,0.56985,0.80634,0.99827,1,0.995,0.87664,0.51781,0.70919,0.86394,0.0011684,0.0011684,0.0011684
23,240.625,0.31669,0.53602,0.80412,0.99827,1,0.995,0.87209,0.52552,0.70603,0.8648,0.0011288,0.0011288,0.0011288
24,250.341,0.30722,0.50888,0.80492,0.99784,1,0.995,0.87571,0.5267,0.68949,0.86516,0.0010892,0.0010892,0.0010892
25,260.32,0.28568,0.48152,0.79511,0.99792,1,0.995,0.87113,0.53112,0.67898,0.86924,0.0010496,0.0010496,0.0010496
26,270.132,0.25865,0.47293,0.79273,0.99811,1,0.995,0.87172,0.53874,0.63909,0.87971,0.00101,0.00101,0.00101
27,280.032,0.26713,0.47127,0.79175,0.99818,1,0.995,0.85562,0.55409,0.63843,0.89294,0.0009704,0.0009704,0.0009704
28,289.656,0.24569,0.4311,0.78855,0.99808,1,0.995,0.86277,0.55104,0.62456,0.89847,0.0009308,0.0009308,0.0009308
29,299.594,0.22969,0.41078,0.78701,0.99765,1,0.995,0.86097,0.53276,0.65093,0.88108,0.0008912,0.0008912,0.0008912
30,309.332,0.21952,0.39866,0.78305,0.99783,1,0.995,0.85849,0.53336,0.647,0.88018,0.0008516,0.0008516,0.0008516
31,319.043,0.20692,0.38628,0.78712,0.99782,1,0.995,0.86266,0.53613,0.66569,0.88741,0.000812,0.000812,0.000812
32,329.014,0.20935,0.37771,0.78158,0.99789,1,0.995,0.8516,0.54538,0.68072,0.8901,0.0007724,0.0007724,0.0007724
33,338.729,0.1925,0.3564,0.77978,0.99821,1,0.995,0.85556,0.55348,0.6236,0.90119,0.0007328,0.0007328,0.0007328
