step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.447150,0.00007000,1000,,,,0.54796100,1.87513483,147.19808126,0.96137096,0.92958619,86.20000000,0.34800000,5
2000,0.968682,0.440512,0.00007000,2000,0.08884451,0.31500808,2.03409456,3.92979026,3.95917392,144.76498497,0.95579991,0.91098412,83.67500000,0.33350000,10
3000,0.953016,0.432975,0.00006995,3000,0.16964809,0.43856590,1.17575875,15.69203281,15.52797222,136.97088767,0.96369291,0.91823725,77.83333333,0.32593827,15
4000,0.937349,0.424051,0.00006983,4000,0.45458341,0.81445955,1.79189200,25.48258018,25.25354004,137.65529533,0.96573826,0.91799591,76.13750000,0.32005540,21
5000,0.921682,0.418014,0.00006965,5000,0.75655651,1.15417419,2.06885777,33.58623123,33.36662674,138.54005591,0.96679160,0.91796602,75.37500000,0.31905540,26
6000,0.906016,0.410364,0.00006939,6000,1.02519021,1.44168282,2.29094987,41.02986526,40.58262634,140.37190518,0.96929993,0.92315104,74.83750000,0.31630540,31
7000,0.890349,0.404289,0.00006907,7000,1.24344264,1.67221744,2.44612229,46.49605179,46.23954391,145.75492607,0.96314466,0.91164859,79.25000000,0.32410169,36
8000,0.874682,0.392701,0.00006868,8000,1.43330591,1.86932478,2.49671240,51.16810989,50.81492615,149.96544545,0.96004290,0.91351184,79.55000000,0.31750000,41
9000,0.859016,0.380176,0.00006822,9000,1.59724455,2.03786011,2.60823871,55.31168747,55.33143234,149.04772507,0.95737335,0.90123628,77.38750000,0.30475000,46
10000,0.843349,0.365701,0.00006770,10000,1.69873883,2.14322992,2.61034030,58.87769699,58.65482712,150.39572741,0.95761429,0.89951855,75.11250000,0.29475000,51
11000,0.827682,0.348794,0.00006712,11000,1.83153377,2.27880638,2.71618443,61.32349014,61.39823532,141.39876339,0.96556970,0.92243591,67.02500000,0.28483730,58
12000,0.812016,0.333372,0.00006647,12000,1.93356226,2.38239020,2.72310853,63.64460754,63.85932922,139.80045781,0.96953956,0.93114414,63.81250000,0.28082631,63
13000,0.796349,0.315485,0.00006576,13000,2.02672074,2.47796460,2.76651765,65.70632935,65.56269073,141.53908402,0.97050834,0.93304054,62.68750000,0.27682631,68
14000,0.780682,0.302472,0.00006498,14000,2.07642892,2.52904878,2.79240983,68.11611176,68.00634766,142.93738596,0.96930081,0.93525021,62.97500000,0.28007631,73
15000,0.765016,0.280497,0.00006415,15000,2.17258457,2.62588894,2.79985386,69.28911591,68.45589447,155.95757509,0.96616580,0.90408623,67.52500000,0.27275000,79
16000,0.749349,0.262085,0.00006326,16000,2.18595185,2.64004579,2.86736877,70.47547913,70.16909027,156.95999770,0.96339650,0.90124866,66.10000000,0.26600000,84
17000,0.733682,0.250000,0.00006232,17000,2.23567124,2.69024744,2.87905523,71.49166107,71.38648987,158.99242173,0.96383263,0.90444700,65.08750000,0.26125000,89
18000,0.718016,0.250000,0.00006132,18000,2.27184596,2.72734456,2.86938352,72.09091187,70.89691162,158.78025945,0.96323127,0.89546354,62.71250000,0.25006533,94
19000,0.702349,0.250000,0.00006027,19000,2.28272889,2.73866263,2.89278913,72.91605377,72.78540039,164.71618431,0.95950373,0.90402608,62.42500000,0.24081533,99
20000,0.686682,0.250000,0.00005917,20000,2.30571563,2.76161678,2.88350965,73.30118561,71.87115479,163.69119828,0.96002395,0.89552159,61.18750000,0.23306533,104
21000,0.671016,0.250000,0.00005803,21000,2.29219908,2.74782351,2.88472364,73.59946442,73.84367371,162.29181126,0.95845445,0.88887059,61.75000000,0.23656533,109
22000,0.655349,0.250000,0.00005684,22000,2.32213033,2.77823999,2.86462236,74.15799713,73.18433380,162.30440443,0.95896335,0.88903765,62.01250000,0.23700000,114
23000,0.639682,0.250000,0.00005560,23000,2.32857203,2.78519744,2.87590485,74.83187103,74.28313446,162.64910698,0.96073565,0.89386364,62.88750000,0.24770681,119
24000,0.624016,0.250000,0.00005433,24000,2.33745939,2.79402166,2.85691223,75.21892548,75.38181305,151.40574658,0.96325605,0.90606871,58.82500000,0.25164048,125
25000,0.608349,0.250000,0.00005302,25000,2.36166669,2.81864777,2.88012667,75.67544556,75.83020782,151.04190726,0.96421857,0.90551155,56.87500000,0.24418556,130
26000,0.592682,0.250000,0.00005167,26000,2.34888735,2.80585966,2.86405778,75.50279999,75.83158875,144.25848075,0.96698092,0.88890067,53.13750000,0.23398520,136
27000,0.577016,0.250000,0.00005029,27000,2.33364505,2.79042991,2.84170974,75.70014954,74.23577881,142.56316674,0.96576616,0.88084597,53.47500000,0.23623520,141
28000,0.561349,0.250000,0.00004888,28000,2.36217499,2.81869037,2.84388860,75.22119904,75.57390594,152.80717708,0.96663169,0.87880719,57.97500000,0.24121882,146
29000,0.545682,0.250000,0.00004744,29000,2.32241315,2.77925034,2.86826677,75.40933228,73.67920685,150.73706020,0.96566269,0.88878433,57.11250000,0.24018051,152
30000,0.530016,0.250000,0.00004598,30000,2.34491282,2.80161238,2.86866758,75.73059082,73.57557678,139.97005047,0.96937914,0.90063904,50.22500000,0.21827845,159
31000,0.514349,0.250000,0.00004450,31000,2.33826590,2.79469131,2.83016330,76.07905579,75.29891968,143.94511068,0.96969111,0.90316379,48.03750000,0.20261115,164
32000,0.498682,0.250000,0.00004300,32000,2.33368538,2.79050242,2.84843097,76.09175873,76.36178589,148.04607137,0.96609947,0.89579360,49.13750000,0.20517742,169
33000,0.483016,0.250000,0.00004149,33000,2.33684384,2.79269579,2.81418878,75.96512604,76.47454071,153.21525889,0.96447032,0.90215442,49.46250000,0.20317742,174
34000,0.467349,0.250000,0.00003996,34000,2.35032939,2.80673835,2.85364038,75.76924896,75.33585358,157.38498874,0.96165422,0.87966687,52.23750000,0.21164640,179
35000,0.451682,0.250000,0.00003843,35000,2.31429420,2.77044408,2.82421126,75.69538116,76.39520264,141.69412999,0.96525586,0.88068160,47.15000000,0.21005831,186
36000,0.436016,0.250000,0.00003689,36000,2.33783764,2.79391321,2.82743219,75.89073944,76.10446930,129.13015824,0.96849632,0.88397111,42.83750000,0.20687341,193
37000,0.420349,0.250000,0.00003534,37000,2.29876152,2.75459907,2.84773544,75.63508606,76.13155365,129.93701594,0.96837526,0.89870098,43.55000000,0.21620251,198
38000,0.404682,0.250000,0.00003380,38000,2.32782729,2.78371133,2.79940537,75.86880493,75.95516968,138.73006449,0.96359334,0.89540032,46.20000000,0.21946008,203
39000,0.389016,0.250000,0.00003226,39000,2.31459811,2.77035904,2.81129478,75.77651215,75.96512604,138.06240033,0.96496032,0.90350529,44.20000000,0.21547642,209
40000,0.373349,0.250000,0.00003073,40000,2.31494484,2.77075048,2.82525645,75.75382996,76.11045074,150.18983858,0.96353680,0.89764248,48.20000000,0.21866132,214
41000,0.357682,0.250000,0.00002920,41000,2.30608466,2.76205213,2.77065459,75.83318329,76.02569580,148.27948618,0.96168144,0.86190144,45.80000000,0.19662233,220
42000,0.342016,0.250000,0.00002769,42000,2.31178260,2.76739584,2.79706595,76.40470123,75.77980804,144.97564220,0.96303050,0.85563382,43.02500000,0.18496383,225
43000,0.326349,0.250000,0.00002620,43000,2.31181110,2.76770012,2.83324573,76.57530975,76.21569824,152.58201451,0.95921138,0.84639096,43.65000000,0.17623954,230
44000,0.310682,0.250000,0.00002472,44000,2.34381336,2.79953844,2.81267363,76.93372345,76.62409210,149.66175275,0.95716167,0.83186008,41.58750000,0.16873604,236
45000,0.295016,0.250000,0.00002326,45000,2.33001118,2.78619716,2.79787147,75.83712006,75.79743195,150.84533551,0.95852495,0.84113737,44.27500000,0.17948604,241
46000,0.279349,0.250000,0.00002183,46000,2.28440639,2.74016042,2.85785364,76.00464630,75.94681549,148.18691247,0.95817743,0.84701883,44.10000000,0.18248857,246
