step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.445313,0.00007000,1000,,,,-0.14284329,2.53633022,154.51926526,0.96171467,,83.75000000,0.33200000,5
2000,0.968682,0.438000,0.00007000,2000,0.22097001,0.51026354,2.24625809,9.86500263,9.82814693,154.64828887,0.95699208,,82.00000000,0.32450000,10
3000,0.953016,0.429628,0.00006995,2998,0.81826283,1.19732529,2.35410083,35.57468033,34.94260025,147.29458394,0.96402715,,75.93333333,0.32145162,15
4000,0.937349,0.420002,0.00006983,3998,1.72487445,2.15617614,2.56003514,51.69636536,51.21560669,147.91192971,0.96626698,,74.63750000,0.31512098,21
5000,0.921682,0.412352,0.00006965,4998,2.31057248,2.75653462,2.75010982,61.15420151,59.78443527,148.84572583,0.96754975,,74.47500000,0.31587098,26
6000,0.906016,0.404027,0.00006939,5998,2.72998474,3.18305735,2.85293813,68.71909332,68.37172699,150.19397693,0.96957028,,73.71250000,0.31162098,31
7000,0.890349,0.394652,0.00006907,6998,2.95836073,3.41480719,2.89898767,72.70639038,72.43306732,156.67446274,0.96348002,,77.66250000,0.31478226,36
8000,0.874682,0.385015,0.00006868,7998,3.11625956,3.57491136,2.94780304,75.08999634,75.53140259,160.11402342,0.95999664,,78.33750000,0.31150000,41
9000,0.859016,0.372002,0.00006822,8998,3.20304808,3.66235012,2.96028952,77.31459808,75.70422363,161.26031595,0.95847446,,76.55000000,0.30325000,46
10000,0.843349,0.360602,0.00006770,9998,3.24084606,3.70080086,3.03285929,78.80275726,76.47647858,162.43942050,0.95837156,,75.52500000,0.29875000,51
11000,0.827682,0.338699,0.00006712,10998,3.35998936,3.82090165,3.02749426,79.05122375,78.68321991,150.33707182,0.96567154,,67.11250000,0.28124624,58
12000,0.812016,0.324430,0.00006647,11998,3.38245919,3.84337441,2.97308140,79.09526825,78.04491425,148.25803535,0.96984487,,63.32500000,0.26901707,63
13000,0.796349,0.307030,0.00006576,12998,3.38364351,3.84476457,3.00613648,79.97686005,78.95845795,149.73979950,0.96976918,,61.81250000,0.26101707,68
14000,0.780682,0.290943,0.00006498,13998,3.37961259,3.84092217,3.00860840,80.24485016,78.72765350,151.07754795,0.96901727,,60.62500000,0.25601707,73
15000,0.765016,0.273642,0.00006415,14998,3.42233297,3.88359527,2.96690815,80.52133179,79.58586884,164.04533538,0.96705493,,65.42500000,0.25708829,78
16000,0.749349,0.256092,0.00006326,15998,3.41584798,3.87736617,3.01640692,80.47171783,78.44745636,169.34378990,0.96355613,,66.20000000,0.25356746,83
