step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.445275,0.00007000,1000,,,,-0.13638373,2.43973303,146.13745213,0.96336623,0.91969353,83.70000000,0.33200000,5
2000,0.968682,0.437963,0.00007000,2000,0.21663625,0.50085385,2.11927673,8.86267567,8.74960041,144.71258511,0.95735369,0.90724823,81.97500000,0.32450000,10
3000,0.953016,0.428353,0.00006995,2998,0.74863979,1.12138389,2.24152557,32.37489319,31.11071777,137.10406268,0.96488764,0.91367665,75.63333333,0.31912392,15
4000,0.937349,0.418836,0.00006983,3998,1.58073775,2.00727906,2.59305466,47.20015335,46.30834579,137.22337079,0.96658896,0.90806754,74.36250000,0.31302091,21
5000,0.921682,0.412573,0.00006965,4998,2.10218606,2.54433520,2.84568609,55.76223755,53.98279953,138.42715054,0.96718893,0.91163028,74.67500000,0.31677091,26
6000,0.906016,0.404286,0.00006939,5998,2.50591510,2.95572509,2.96096433,63.04443359,60.78088760,140.12914993,0.96944115,0.91553100,73.93750000,0.31302091,31
7000,0.890349,0.395848,0.00006907,6998,2.71578686,3.16888624,3.03382909,66.26650238,66.03433228,145.29147847,0.96262260,0.90296506,78.35000000,0.32042797,36
8000,0.874682,0.386848,0.00006868,7998,2.86346854,3.31889704,3.14983132,68.42855835,68.87947845,150.25670556,0.95936611,0.91296963,79.33750000,0.31925000,41
9000,0.859016,0.375486,0.00006822,8998,2.91089439,3.36712052,3.19266089,70.25965118,69.02925110,150.13001920,0.95649462,0.90545593,77.63750000,0.31150000,46
10000,0.843349,0.364536,0.00006770,9998,2.94317220,3.39983871,3.32172977,71.25915527,70.52127075,151.41068419,0.95678853,0.90640638,76.75000000,0.30825000,51
11000,0.827682,0.339729,0.00006712,10998,3.02467329,3.48210617,3.30229813,72.01291656,72.31613922,142.56667292,0.96519319,0.93009048,68.12500000,0.28033730,58
12000,0.812016,0.325424,0.00006647,11998,3.06465321,3.52182820,3.30377080,71.40647125,70.71338654,140.92885874,0.96983979,0.93729460,64.20000000,0.26822466,63
13000,0.796349,0.310461,0.00006576,12998,2.99311266,3.45038617,3.32951136,72.81557465,72.60185242,142.34067049,0.97064032,0.93721127,63.08750000,0.26297466,68
14000,0.780682,0.296061,0.00006498,13998,3.01382672,3.47115484,3.33426781,72.90670776,72.70346832,143.19034208,0.97001218,0.93434099,62.22500000,0.25972466,73
15000,0.765016,0.277824,0.00006415,14998,3.03302375,3.49001803,3.32172399,72.51932526,73.36345673,157.94041270,0.96608058,0.91476959,69.40000000,0.27516667,79
16000,0.749349,0.264624,0.00006326,15998,3.01730655,3.47375079,3.29038320,73.33106232,73.05773163,158.04657708,0.96319226,0.91059792,69.81250000,0.27816667,84
17000,0.733682,0.250186,0.00006232,16998,2.99707180,3.45366641,3.26689005,74.46564484,73.03838348,160.02373187,0.96335854,0.91542263,69.83750000,0.28016667,89
18000,0.718016,0.250000,0.00006132,17998,3.02111992,3.47731380,3.24970017,74.54718781,74.79216003,160.34522559,0.96242734,0.91356474,70.47500000,0.28472446,94
19000,0.702349,0.250000,0.00006027,18998,3.02348540,3.47988229,3.22407427,75.00922394,74.08192444,164.64157907,0.95840459,0.91511871,70.08750000,0.27855779,99
20000,0.686682,0.250000,0.00005917,19998,2.98894314,3.44445989,3.19070564,75.33064270,73.47063446,165.29993351,0.95871798,0.91461697,68.62500000,0.27180779,104
21000,0.671016,0.250000,0.00005803,20998,2.95516825,3.41017712,3.19592899,74.84722137,74.43552399,163.37971199,0.95763459,0.90322672,67.77500000,0.26655779,109
22000,0.655349,0.250000,0.00005684,21998,2.95819311,3.41321472,3.24698248,75.44049072,74.70276642,162.68020311,0.95813645,0.89910414,67.45000000,0.26400000,114
23000,0.639682,0.250000,0.00005560,22998,2.90142833,3.35548925,3.25645726,75.53981018,74.85808563,162.46694671,0.96143204,0.89850370,66.22500000,0.25830366,119
24000,0.624016,0.250000,0.00005433,23998,2.90527746,3.35935962,3.17986634,74.74739838,75.55614471,149.65912455,0.96452575,0.90254097,61.96250000,0.26704856,125
25000,0.608349,0.250000,0.00005302,24998,2.86664476,3.32014904,3.12471406,75.86467743,74.60417938,148.60121912,0.96567831,0.89773274,59.52500000,0.25640785,130
26000,0.592682,0.250000,0.00005167,25998,2.86760205,3.31996534,3.10785785,75.58008575,74.97160339,144.67122773,0.96831421,0.89679572,57.26250000,0.25138318,136
27000,0.577016,0.250000,0.00005029,26998,2.86832740,3.32029274,3.09888072,75.84766388,75.28266907,143.95235898,0.96628949,0.89416225,58.08750000,0.25713318,141
28000,0.561349,0.250000,0.00004888,27998,2.80528144,3.25720178,3.04847825,76.48302460,75.25507355,154.31419472,0.96676354,0.89128083,61.73750000,0.25041083,146
29000,0.545682,0.250000,0.00004744,28998,2.81141765,3.26246559,3.06418659,76.56726837,75.69165802,152.05940130,0.96531662,0.90118920,62.00000000,0.25775213,152
30000,0.530016,0.250000,0.00004598,29998,2.80059050,3.25169268,3.05119472,76.02166748,75.79647064,141.05169040,0.96865338,0.91739842,55.71250000,0.24125737,159
31000,0.514349,0.250000,0.00004450,30998,2.83280726,3.28392810,3.05347800,76.09989166,75.92200470,145.26120297,0.96835997,0.92565270,56.77500000,0.24348481,164
32000,0.498682,0.250000,0.00004300,31998,2.82410182,3.27487705,3.02485804,76.50121307,75.41946411,149.68982719,0.96581754,0.92339945,60.66250000,0.25455108,169
33000,0.483016,0.250000,0.00004149,32998,2.78463349,3.23478500,3.03706993,76.94446564,76.89051056,154.38922689,0.96544626,0.92520029,62.11250000,0.25180108,174
34000,0.467349,0.250000,0.00003996,33998,2.79178126,3.24192959,3.03877721,77.10457611,76.10675049,158.44515399,0.96330081,0.90468767,66.47500000,0.26958995,179
