step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.445275,0.00007000,1000,,,,-0.13638373,2.44268656,146.33595213,0.96336623,0.91969353,83.70000000,0.33200000,5
2000,0.968682,0.437963,0.00007000,2000,0.21689634,0.50133302,2.12318803,8.88343525,8.76516914,144.91993511,0.95735369,0.90724823,81.97500000,0.32450000,10
3000,0.953016,0.428353,0.00006995,2998,0.74960802,1.12243497,2.23614852,32.41455078,31.15755272,137.29926268,0.96488764,0.91367665,75.63333333,0.31912392,15
4000,0.937349,0.418686,0.00006983,3998,1.58414705,2.01082312,2.59229598,47.25458908,46.40618515,137.44569840,0.96658771,0.90807797,74.31250000,0.31277091,21
5000,0.921682,0.412461,0.00006965,4998,2.10653285,2.54870647,2.84058380,55.83432007,54.07707596,138.67364332,0.96721483,0.91180557,74.63750000,0.31652091,26
6000,0.906016,0.404248,0.00006939,5998,2.51235319,2.96224159,2.95973075,63.18080139,60.97521591,140.37440539,0.96948994,0.91571378,73.92500000,0.31277091,31
7000,0.890349,0.395773,0.00006907,6998,2.72200987,3.17539894,3.02925617,66.44597626,66.19547272,145.56063256,0.96274485,0.90321289,78.32500000,0.31992797,36
8000,0.874682,0.387523,0.00006868,7998,2.86775984,3.32317356,3.14208265,68.60463715,69.04631805,150.43633992,0.95947489,0.91338189,79.61250000,0.32025000,41
9000,0.859016,0.376498,0.00006822,8998,2.91159297,3.36787610,3.18376275,70.28386688,69.07721710,150.24281164,0.95659455,0.90577514,78.01250000,0.31300000,46
10000,0.843349,0.365698,0.00006770,9998,2.94778901,3.40453816,3.33499845,71.35379791,70.61241913,151.49234115,0.95687549,0.90673356,77.15000000,0.31000000,51
11000,0.827682,0.341304,0.00006712,10998,3.02939886,3.48682774,3.31693884,72.03009796,72.35180664,142.58666466,0.96523982,0.93034389,68.58750000,0.28233730,58
12000,0.812016,0.327081,0.00006647,11998,3.07075656,3.52796488,3.29376127,71.46463013,70.79483795,141.00377946,0.96988844,0.93746285,64.45000000,0.26922466,63
13000,0.796349,0.311856,0.00006576,12998,3.00253832,3.46002033,3.32614218,72.97635651,72.77415466,142.29144934,0.97078385,0.93650695,63.18750000,0.26322466,68
14000,0.780682,0.297493,0.00006498,13998,3.02265271,3.48003694,3.33252461,73.16524506,72.90670013,143.17352736,0.97016187,0.93357375,62.18750000,0.25947466,73
15000,0.765016,0.279481,0.00006415,14998,3.04014346,3.49731933,3.31677945,72.62729645,73.47394562,157.92053711,0.96620139,0.91397943,69.42500000,0.27525000,79
16000,0.749349,0.265943,0.00006326,15998,3.02524593,3.48185894,3.29086353,73.50930023,73.25562286,158.07201285,0.96333088,0.90989751,69.72500000,0.27775000,84
17000,0.733682,0.251468,0.00006232,16998,3.00116202,3.45779392,3.25455669,74.68613434,73.26997375,160.17325287,0.96334191,0.91547929,69.82500000,0.28050000,89
18000,0.718016,0.250000,0.00006132,17998,3.01747589,3.47323512,3.25409394,74.68651581,74.92095947,160.50368541,0.96236811,0.91374497,70.61250000,0.28580779,94
19000,0.702349,0.250000,0.00006027,18998,3.01390199,3.46993037,3.21559427,75.17980194,74.24914551,164.93843473,0.95833406,0.91582446,70.25000000,0.27955779,99
20000,0.686682,0.250000,0.00005917,19998,2.98165498,3.43671099,3.18998185,75.48013306,73.59291077,165.52558468,0.95862005,0.91490356,68.87500000,0.27305779,104
21000,0.671016,0.250000,0.00005803,20998,2.95029329,3.40498980,3.19365870,75.07048798,74.63801575,163.81308367,0.95754115,0.90375029,67.53750000,0.26505779,109
22000,0.655349,0.250000,0.00005684,21998,2.95480514,3.40975877,3.25104530,75.62145233,74.87248993,163.15071560,0.95799439,0.89987858,67.30000000,0.26300000,114
23000,0.639682,0.250000,0.00005560,22998,2.89728658,3.35133580,3.25301613,75.67943573,74.95362854,163.24257573,0.96131446,0.90084172,66.12500000,0.25806545,119
24000,0.624016,0.250000,0.00005433,23998,2.90205162,3.35590486,3.20081881,74.98023224,75.76117706,150.25763518,0.96442781,0.90351077,61.40000000,0.26481034,125
25000,0.608349,0.250000,0.00005302,24998,2.86423113,3.31723328,3.14479183,76.07553101,74.86520386,149.19278285,0.96572228,0.89894984,59.22500000,0.25564641,130
26000,0.592682,0.250000,0.00005167,25998,2.86442833,3.31703908,3.13226517,75.85418701,75.20440674,145.35436128,0.96830768,0.89781037,56.42500000,0.24808031,136
27000,0.577016,0.250000,0.00005029,26998,2.86887077,3.32074165,3.11504215,76.18409729,75.55840302,144.45598727,0.96587085,0.89417788,57.11250000,0.25458031,141
28000,0.561349,0.250000,0.00004888,27998,2.80568680,3.25720761,3.06172923,76.93103790,75.76454926,155.21200389,0.96621304,0.89205149,59.86250000,0.24410797,146
29000,0.545682,0.250000,0.00004744,28998,2.81023989,3.26127887,3.06760281,76.88750458,76.03143311,152.74487856,0.96486569,0.90092116,60.07500000,0.25000339,152
30000,0.530016,0.250000,0.00004598,29998,2.79694988,3.24758934,3.02352683,76.43313599,76.22713470,141.98330851,0.96839891,0.91822376,53.66250000,0.23275737,159
31000,0.514349,0.250000,0.00004450,30998,2.82700428,3.27753384,3.03702194,76.34848785,76.26045990,145.93431182,0.96860114,0.92510400,54.68750000,0.23423481,164
32000,0.498682,0.250000,0.00004300,31998,2.81550413,3.26596397,3.01322527,76.68746185,75.84098053,150.23047036,0.96627754,0.92138167,57.92500000,0.24130108,169
33000,0.483016,0.250000,0.00004149,32998,2.77622662,3.22605677,3.01136727,77.20935059,77.18881989,155.00211725,0.96562120,0.92404184,59.82500000,0.24205108,174
34000,0.467349,0.250000,0.00003996,33998,2.77931970,3.22890032,3.00992616,77.33686066,76.40682220,158.74958884,0.96308667,0.90109517,63.35000000,0.25676136,179
35000,0.451682,0.250000,0.00003843,34998,2.79249202,3.24262034,3.00649273,77.18538666,75.87786865,142.80423606,0.96742798,0.89480957,55.33750000,0.23757133,186
36000,0.436016,0.250000,0.00003689,35998,2.76737780,3.21709543,2.98985657,77.14708710,76.38442993,130.62525313,0.96935359,0.89621177,47.97500000,0.22092621,193
37000,0.420349,0.250000,0.00003534,36998,2.81579684,3.26513216,3.00016769,77.43556976,77.47106171,130.12911361,0.96952823,0.90285260,48.00000000,0.21931681,198
38000,0.404682,0.250000,0.00003380,37998,2.79237565,3.24151782,2.96085218,77.36618805,76.77982330,139.75660369,0.96490994,0.90540825,50.10000000,0.21703650,203
39000,0.389016,0.250000,0.00003226,38998,2.76357500,3.21287188,2.96102636,77.60273743,77.54610443,136.56975401,0.96753967,0.90030966,47.68750000,0.21095539,209
40000,0.373349,0.250000,0.00003073,39998,2.75053916,3.19939008,2.97736185,77.93911743,77.08077240,148.66357470,0.96577627,0.89505978,52.31250000,0.21985050,214
41000,0.357682,0.250000,0.00002920,40998,2.76221416,3.21124004,2.95559536,77.18853760,77.72595215,151.07838721,0.96353055,0.88906306,56.75000000,0.23990092,220
42000,0.342016,0.250000,0.00002769,41998,2.77922877,3.22844639,2.96787747,77.73750305,74.29030609,148.05003359,0.96398556,0.88585988,56.28750000,0.24272435,225
43000,0.326349,0.250000,0.00002620,42998,2.79329777,3.24257801,2.96143185,77.61755371,76.08113861,158.07106522,0.95925858,0.89784831,64.17500000,0.27276299,230
44000,0.310682,0.250000,0.00002472,43998,2.77565252,3.22488849,2.92203130,77.91500092,78.05872345,156.77343227,0.95750888,0.89263170,60.66250000,0.25687085,236
45000,0.295016,0.250000,0.00002326,44998,2.75449418,3.20317871,2.95284699,77.61808014,74.07385254,155.92492823,0.95950062,0.88520168,58.11250000,0.23987085,241
46000,0.279349,0.250000,0.00002183,45998,2.76560684,3.21466456,2.92943782,77.68540192,76.56086731,154.09746235,0.95906652,0.89164121,54.08750000,0.22515945,246
47000,0.263682,0.250000,0.00002043,46998,2.78475620,3.23327268,2.89901958,77.66724396,77.17259979,154.01372846,0.96083556,0.88947254,52.68750000,0.21765945,251
48000,0.248016,0.250000,0.00001906,47998,2.71517784,3.16346708,2.89703168,77.95307159,75.87812805,157.46635434,0.95807924,0.89237865,56.63750000,0.23234921,256
49000,0.232349,0.250000,0.00001772,48998,2.74318182,3.19155204,2.88793812,78.11981964,76.48614502,157.56340108,0.95433544,0.89652013,59.56250000,0.25109921,261
50000,0.216682,0.250000,0.00001641,49998,2.72743245,3.17569897,2.86622268,77.69219971,76.24802399,162.86604711,0.95451487,0.89545524,64.90000000,0.27425000,266
51000,0.201016,0.250000,0.00001515,50998,2.73952242,3.18800037,2.85388687,77.47147369,76.33156586,163.38585680,0.95569412,0.89922409,65.81250000,0.27950000,271
52000,0.185349,0.250000,0.00001392,51998,2.75169155,3.19982144,2.87276687,77.66195679,77.76725006,165.11576771,0.95841150,0.90327989,62.13750000,0.26500000,276
53000,0.169682,0.250000,0.00001274,52998,2.71429269,3.16224865,2.85957047,77.47695160,76.23901367,161.11787292,0.96207913,0.90479042,54.33750000,0.23233333,282
54000,0.154016,0.250000,0.00001160,53998,2.72142616,3.16994299,2.87379043,77.93726349,77.39897919,156.46367269,0.96229479,0.89846571,49.08750000,0.20856848,287
55000,0.138349,0.250000,0.00001051,54998,2.77922112,3.22779023,2.89614045,78.51447296,76.59387207,150.07576568,0.96194588,0.88835841,45.41250000,0.19512720,293
56000,0.122682,0.250000,0.00000947,55998,2.76190167,3.21046642,2.90207428,77.70067596,76.30829620,154.16392574,0.95837019,0.88268984,49.52500000,0.21229387,298
57000,0.107016,0.250000,0.00000848,56998,2.74156974,3.19024908,2.86661809,78.12171173,76.60965729,152.87024690,0.95649524,0.87609645,49.42500000,0.21729387,303
58000,0.091349,0.250000,0.00000755,57998,2.73239362,3.18079689,2.84717315,78.10769653,78.44207001,156.79419415,0.95257244,0.87864993,54.56250000,0.24330872,308
59000,0.075682,0.250000,0.00000667,58998,2.74319138,3.19130276,2.88794627,77.77935791,77.24161530,155.98360404,0.95492222,0.89801675,54.33750000,0.24813955,314
60000,0.060016,0.250000,0.00000586,59998,2.74576661,3.19367780,2.85029903,78.04155731,76.39376831,155.78585059,0.95180616,0.89862174,55.61250000,0.25363955,319
61000,0.060000,0.250000,0.00000510,60998,2.72476135,3.17302927,2.86079761,78.11359406,74.68309784,157.25386048,0.95571346,0.90369083,53.78750000,0.24238955,324
