step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.445313,0.00007000,1000,,,,-0.14284329,0.97464091,154.51926526,0.96171467,,83.75000000,0.33200000,5
2000,0.968682,0.437963,0.00007000,2000,0.05136696,0.24124671,1.00997913,3.84189677,3.92489052,154.65445951,0.95696789,,81.97500000,0.32450000,10
3000,0.953016,0.429680,0.00006995,3000,0.16198726,0.41964085,1.07281583,17.21846962,17.06583595,147.28468983,0.96401384,,75.95000000,0.32145162,15
4000,0.937349,0.419979,0.00006983,4000,0.46101715,0.81975420,1.70870576,28.14888191,28.01406860,147.91188107,0.96624301,,74.62500000,0.31512098,21
5000,0.921682,0.412029,0.00006965,5000,0.77752366,1.17605743,2.01409030,36.77605057,36.69255447,148.88865391,0.96751043,,74.36250000,0.31562098,26
6000,0.906016,0.403292,0.00006939,6000,1.05593797,1.47412313,2.21450833,45.03496170,45.21245193,150.28170616,0.96945835,,73.47500000,0.31137098,31
7000,0.890349,0.393354,0.00006907,7000,1.30010334,1.73009586,2.36516725,51.47206497,51.70079041,156.83767193,0.96328398,,77.23750000,0.31428226,36
8000,0.874682,0.384017,0.00006868,8000,1.51022805,1.94797854,2.47230386,56.62766647,57.04516602,160.28685540,0.95991699,,78.01250000,0.31100000,41
9000,0.859016,0.370854,0.00006822,9000,1.68236612,2.12506073,2.53408721,61.71156693,61.07305908,161.41775090,0.95836341,,76.27500000,0.30275000,46
10000,0.843349,0.359829,0.00006770,10000,1.82003259,2.26680912,2.63385902,65.67102814,65.04990387,162.54751473,0.95847529,,75.51250000,0.29800000,51
11000,0.827682,0.336949,0.00006712,11000,1.96487463,2.41404439,2.66317235,68.88519287,69.21851349,150.40636160,0.96579812,,67.17500000,0.28049624,58
12000,0.812016,0.322224,0.00006647,12000,2.08234915,2.53399865,2.66585503,70.95656586,70.89311981,148.40316929,0.96986566,,63.13750000,0.26851707,63
13000,0.796349,0.305462,0.00006576,13000,2.14032719,2.59291844,2.75315923,73.58094025,74.30204010,149.80846352,0.96981979,,61.88750000,0.26126707,68
14000,0.780682,0.289299,0.00006498,14000,2.22470363,2.67909470,2.71192928,75.61640167,74.91393280,151.21085291,0.96892564,,60.47500000,0.25651707,73
15000,0.765016,0.271363,0.00006415,15000,2.28626611,2.74200921,2.77807095,77.78131866,78.07550812,164.18006559,0.96702879,,65.31250000,0.25833829,78
16000,0.749349,0.253851,0.00006326,16000,2.34816973,2.80443943,2.77221742,78.66879272,78.16133118,169.48147295,0.96366498,,66.22500000,0.25381746,83
17000,0.733682,0.250000,0.00006232,17000,2.40373029,2.86038773,2.79783438,80.21802521,80.22207642,170.33170124,0.96261896,,66.42500000,0.25806746,88
18000,0.718016,0.250000,0.00006132,18000,2.41797498,2.87552183,2.84726166,81.01860809,81.23167419,171.18237885,0.96271087,,66.43750000,0.25806746,93
19000,0.702349,0.250000,0.00006027,19000,2.48649697,2.94439318,2.86131345,82.18402863,81.18729401,174.69565464,0.95940225,,66.42500000,0.25200000,98
20000,0.686682,0.250000,0.00005917,20000,2.50672649,2.96494419,2.81556415,83.23183441,82.11095428,175.00137929,0.95795769,,65.08750000,0.24650000,103
21000,0.671016,0.250000,0.00005803,21000,2.53884871,2.99733172,2.84060705,83.39616394,82.68141937,175.50266351,0.95800694,,63.08750000,0.23300000,108
22000,0.655349,0.250000,0.00005684,22000,2.50399852,2.96278387,2.81739479,83.68138885,83.62020874,175.72110004,0.95876238,,62.82500000,0.23075000,113
23000,0.639682,0.250000,0.00005560,23000,2.55218851,3.01149779,2.88508786,83.97668457,83.13481903,176.62606274,0.96172481,,61.48750000,0.22250000,118
24000,0.624016,0.250000,0.00005433,24000,2.54352278,3.00275139,2.86285427,84.09632874,84.13120270,164.53129535,0.96687910,,56.22500000,0.20940049,125
25000,0.608349,0.250000,0.00005302,25000,2.57144994,3.03056290,2.89545788,85.47674561,84.46440887,164.83441657,0.96818395,,54.65000000,0.20475411,130
26000,0.592682,0.250000,0.00005167,26000,2.58636053,3.04549873,2.85403813,85.35349274,84.06763458,164.63613772,0.96906080,,53.56250000,0.19975144,135
27000,0.577016,0.250000,0.00005029,27000,2.59904131,3.05823017,2.85614096,85.61464691,84.78365326,160.61658220,0.96875815,,51.65000000,0.19856000,140
28000,0.561349,0.250000,0.00004888,28000,2.63534841,3.09505055,2.88491168,86.08769989,85.90688324,171.49810380,0.96866129,,53.72500000,0.19976203,146
29000,0.545682,0.250000,0.00004744,29000,2.61639142,3.07637126,2.86977257,86.49741364,85.03472900,167.18461547,0.96780336,,51.51250000,0.19343119,151
30000,0.530016,0.250000,0.00004598,30000,2.65628584,3.11593461,2.84310372,85.95660400,86.81253815,154.75731446,0.97210111,,45.28750000,0.17857795,158
31000,0.514349,0.250000,0.00004450,31000,2.63613530,3.09607447,2.86224950,86.76503754,84.99281311,155.30370531,0.97133469,,42.35000000,0.16782795,163
32000,0.498682,0.250000,0.00004300,32000,2.65496851,3.11484266,2.88617899,86.93647003,87.13716888,162.78887072,0.96831785,,44.55000000,0.16720532,168
33000,0.483016,0.250000,0.00004149,33000,2.64634676,3.10655182,2.87221225,87.14597321,86.78570557,166.94513467,0.96569080,,44.81250000,0.16672913,173
34000,0.467349,0.250000,0.00003996,34000,2.63568465,3.09533515,2.86776128,87.25792694,87.00775146,173.79470704,0.96290832,,48.48750000,0.17623504,179
35000,0.451682,0.250000,0.00003843,35000,2.66888452,3.12876385,2.91631293,86.73297119,86.95867920,159.24831769,0.96878641,,43.22500000,0.15933388,186
36000,0.436016,0.250000,0.00003689,36000,2.63586153,3.09534048,2.84546980,86.90509033,86.85005951,147.20729717,0.97369506,,39.36250000,0.15292196,192
37000,0.420349,0.250000,0.00003534,37000,2.65743213,3.11730066,2.86247585,86.87671661,87.25022125,146.36409102,0.97315500,,37.72500000,0.14115390,198
38000,0.404682,0.250000,0.00003380,38000,2.63797648,3.09785139,2.85734077,87.01522827,86.72238159,155.27336581,0.96881970,,39.05000000,0.13995022,203
39000,0.389016,0.250000,0.00003226,39000,2.68890463,3.14836782,2.84510635,87.22438812,86.51735687,153.04987801,0.97105834,,37.80000000,0.13522140,209
40000,0.373349,0.250000,0.00003073,40000,2.66003589,3.11966054,2.90282421,87.03784180,86.23423004,166.08963030,0.96883385,,39.67500000,0.13213332,214
41000,0.357682,0.250000,0.00002920,41000,2.64583038,3.10550222,2.83529226,86.98503876,87.23099518,169.75448536,0.96576353,,38.37500000,0.12987089,219
42000,0.342016,0.250000,0.00002769,42000,2.67032706,3.13036764,2.85314344,87.72634125,87.31713104,170.53095568,0.96682513,,35.96250000,0.12337089,224
43000,0.326349,0.250000,0.00002620,43000,2.67475329,3.13443809,2.89111801,87.85076904,87.35910797,176.11309469,0.96288683,,37.85000000,0.12744735,229
44000,0.310682,0.250000,0.00002472,44000,2.65104754,3.11105138,2.84776191,87.78755951,88.01937103,173.55926223,0.96616038,,36.43750000,0.11898164,235
45000,0.295016,0.250000,0.00002326,45000,2.66774769,3.12723728,2.92764730,87.96057129,86.57627106,176.62135227,0.96333255,,35.23750000,0.11277709,240
46000,0.279349,0.250000,0.00002183,46000,2.66991149,3.12967312,2.85655484,87.64922333,87.78646088,179.70580896,0.96288188,,33.97500000,0.10503429,245
47000,0.263682,0.250000,0.00002043,47000,2.66998602,3.12987989,2.84837654,87.62633514,85.72280884,174.16077543,0.96454209,,30.71250000,0.09932974,250
48000,0.248016,0.250000,0.00001906,48000,2.67702609,3.13623846,2.89725531,87.69293213,87.62274933,176.93517856,0.96083639,,30.50000000,0.10154545,255
49000,0.232349,0.250000,0.00001772,49000,2.65954694,3.11875497,2.83024930,88.34072113,87.02847290,176.79962571,0.96063825,,30.68750000,0.09654545,260
50000,0.216682,0.250000,0.00001641,50000,2.66866441,3.12805771,2.86748069,87.61657715,87.07818604,176.92696569,0.96262995,,32.18750000,0.09654545,265
51000,0.201016,0.250000,0.00001515,51000,2.64856882,3.10816284,2.88332345,87.37957001,87.72200775,183.72314508,0.96201248,,30.35000000,0.08650000,270
52000,0.185349,0.250000,0.00001392,52000,2.67046746,3.12981833,2.83641676,87.49825287,87.31972504,184.67311386,0.96615482,,29.56250000,0.07550000,275
53000,0.169682,0.250000,0.00001274,53000,2.65555021,3.11450191,2.85770377,87.50075531,88.00913239,180.09201631,0.96968733,,25.58750000,0.06226582,281
54000,0.154016,0.250000,0.00001160,54000,2.64619299,3.10540053,2.83815984,87.19607544,86.63214874,180.11975686,0.96631478,,22.40000000,0.05626582,286
55000,0.138349,0.250000,0.00001051,55000,2.67470244,3.13385801,2.89080369,87.49068451,87.52331543,174.89761671,0.96860873,,20.38750000,0.04996580,292
56000,0.122682,0.250000,0.00000947,56000,2.65400127,3.11268953,2.85888082,87.37564850,86.27609253,170.57297466,0.96986864,,20.95000000,0.04542819,297
57000,0.107016,0.250000,0.00000848,57000,2.64748582,3.10604759,2.81882426,87.25350189,85.62944794,176.60493896,0.96911484,,19.78750000,0.04191237,302
58000,0.091349,0.250000,0.00000755,58000,2.67315656,3.13237521,2.86840147,87.22039795,87.59632111,180.29471851,0.96696674,,21.83750000,0.04199727,307
59000,0.075682,0.250000,0.00000667,59000,2.66147802,3.12018642,2.89580739,87.67443848,87.44769287,181.10331612,0.96847321,,21.67500000,0.04107895,313
60000,0.060016,0.250000,0.00000586,60000,2.64920624,3.10779125,2.90181077,87.10750580,85.93526459,177.63704624,0.97205311,,18.31250000,0.03307895,318
61000,0.060000,0.250000,0.00000510,61000,2.65224963,3.11096287,2.86656879,87.40531158,87.33544922,177.37042380,0.97151249,,17.13750000,0.02857895,323
62000,0.060000,0.250000,0.00000440,62000,2.66116363,3.12001892,2.85706574,86.79400635,87.27713776,170.75111145,0.97647381,,15.27500000,0.02233982,329
63000,0.060000,0.250000,0.00000376,63000,2.65708664,3.11610081,2.85601403,86.82828522,85.65057373,172.00603043,0.97508965,,13.90000000,0.01901087,335
64000,0.060000,0.250000,0.00000319,64000,2.63646608,3.09453710,2.85264002,87.19094086,87.24730682,172.31158605,0.97675231,,13.43750000,0.01801087,340
65000,0.060000,0.250000,0.00000268,65000,2.63886840,3.09724953,2.83873653,87.30686188,85.89392090,163.76203168,0.97797866,,12.10000000,0.01801087,346
66000,0.060000,0.250000,0.00000224,66000,2.64809546,3.10623564,2.77283886,87.41189575,86.99642181,171.31263856,0.97458444,,10.50000000,0.01775000,351
67000,0.060000,0.250000,0.00000186,67000,2.62792563,3.08687409,2.82510440,87.05377197,87.27469635,174.01757922,0.97492215,,9.82500000,0.01975000,356
68000,0.060000,0.250000,0.00000155,68000,2.64909151,3.10745782,2.85833429,86.94882965,87.21047974,156.47156497,0.97935302,,9.85000000,0.01949127,363
69000,0.060000,0.250000,0.00000131,69000,2.63531036,3.09341450,2.81533296,87.11129761,85.20087433,164.61139956,0.97921494,,13.85000000,0.01974127,368
70000,0.060000,0.250000,0.00000114,70000,2.64219308,3.10076729,2.86525905,86.78151703,86.90232086,164.18363349,0.97881761,,15.21250000,0.02024127,373
71000,0.060000,0.250000,0.00000103,71000,2.64982181,3.10798812,2.89243670,86.91420746,85.38473511,170.82522354,0.97732079,,16.18750000,0.01797733,378
72000,0.060000,0.250000,0.00000100,72000,2.67890899,3.13717480,2.77461977,86.80973053,87.01125336,186.06148002,0.97455719,,14.63750000,0.01604240,383
