step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.445275,0.00007000,1000,,,,-0.13638373,0.94657677,146.13745213,0.96336623,0.91969353,83.70000000,0.33200000,5
2000,0.968682,0.437925,0.00007000,2000,0.05627806,0.25430775,1.03190485,3.45195389,3.50131106,144.72292490,0.95733785,0.90724488,81.95000000,0.32450000,10
3000,0.953016,0.427967,0.00006995,3000,0.15414819,0.41290417,1.13010643,15.20460987,14.85856342,137.17500110,0.96487864,0.91369325,75.48333333,0.31837130,15
4000,0.937349,0.418150,0.00006983,4000,0.41714606,0.76923186,1.73343604,24.93685913,24.84108925,137.33574516,0.96651308,0.90810899,74.15000000,0.31245644,21
5000,0.921682,0.411213,0.00006965,5000,0.69537057,1.08688039,2.04433048,32.88798904,32.76057434,138.70222864,0.96708380,0.91192325,74.23750000,0.31520644,26
6000,0.906016,0.402250,0.00006939,6000,0.96024483,1.37250785,2.25209621,40.47617722,40.24270248,140.52645616,0.96929266,0.91579824,73.26250000,0.31070644,31
7000,0.890349,0.393213,0.00006907,7000,1.16820551,1.59347987,2.41968167,46.39511490,46.67176819,145.70640597,0.96242629,0.90305669,77.61250000,0.31842797,36
8000,0.874682,0.383725,0.00006868,8000,1.36681845,1.79964034,2.52089137,50.78341293,51.12065125,150.66524956,0.95909450,0.91265285,78.52500000,0.31675000,41
9000,0.859016,0.372813,0.00006822,9000,1.48950484,1.92728896,2.61626533,55.37192917,54.80625534,150.48848021,0.95599701,0.90544814,77.20000000,0.31150000,46
10000,0.843349,0.361825,0.00006770,10000,1.62695665,2.06834128,2.70067143,58.88335800,58.91361618,151.71818200,0.95615221,0.90646979,76.52500000,0.30950000,51
11000,0.827682,0.335397,0.00006712,11000,1.74456079,2.18853618,2.71356240,61.35824585,61.88946533,142.93767549,0.96461003,0.93059181,67.92500000,0.28069841,58
12000,0.812016,0.320109,0.00006647,12000,1.84014153,2.28698834,2.72875538,63.15224075,63.19357300,141.15576799,0.96917790,0.93642731,63.63750000,0.26833578,63
13000,0.796349,0.305259,0.00006576,13000,1.86311618,2.31052471,2.80603940,65.95108795,66.47643280,142.46249580,0.97019363,0.93582535,62.60000000,0.26308578,68
14000,0.780682,0.289847,0.00006498,14000,1.91941422,2.36863676,2.76327943,67.56460571,66.96758270,143.37836309,0.96956349,0.93241854,61.31250000,0.25783578,73
15000,0.765016,0.268822,0.00006415,15000,1.98514535,2.43543965,2.82074281,69.10999298,69.50854492,158.44080178,0.96552263,0.91365587,67.91250000,0.27225000,79
16000,0.749349,0.250747,0.00006326,16000,2.04231799,2.49335603,2.81376695,70.43998718,70.76582336,158.74668158,0.96267551,0.90787549,66.70000000,0.26750000,84
17000,0.733682,0.250000,0.00006232,17000,2.06025338,2.51216372,2.84253325,71.95081329,71.90770721,160.90356688,0.96285787,0.91329762,66.72500000,0.26975000,89
18000,0.718016,0.250000,0.00006132,18000,2.11605524,2.56867940,2.83684527,72.56643677,72.81330109,160.75224730,0.96203140,0.90871595,66.58750000,0.27056030,94
19000,0.702349,0.250000,0.00006027,19000,2.15774516,2.61075051,2.81719640,73.52891541,72.71524048,164.47536760,0.95852679,0.90908392,67.33750000,0.26831030,99
20000,0.686682,0.250000,0.00005917,20000,2.17232880,2.62534078,2.79375894,74.22710419,74.09306335,164.96113239,0.95883904,0.90998038,66.87500000,0.26656030,104
21000,0.671016,0.250000,0.00005803,21000,2.17014754,2.62316464,2.80887699,74.51821899,74.67908478,162.78966786,0.95820731,0.89739690,65.42500000,0.25506030,109
22000,0.655349,0.250000,0.00005684,22000,2.17383896,2.62681583,2.81644365,74.91014862,74.11478424,162.49336429,0.95828697,0.89640607,65.98750000,0.25850000,114
