step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.445350,0.00007000,1000,,,,-0.95866781,-0.03303606,146.30528651,0.96345294,0.91976436,83.80000000,0.33200000,5
2000,0.968682,0.438413,0.00007000,2000,3.88936389,4.22293687,0.13554609,2.12983990,2.21653533,144.74167412,0.95747276,0.90705913,82.27500000,0.32550000,10
3000,0.953016,0.428624,0.00006995,3000,3.64810406,4.45681962,0.05910221,13.01877880,12.88553238,137.19723371,0.96497566,0.91352621,75.76666667,0.31903797,15
4000,0.937349,0.418256,0.00006983,4000,3.09514358,4.74721849,0.06577524,20.90523529,20.95880318,137.42674525,0.96663817,0.90778831,74.18750000,0.31195644,21
5000,0.921682,0.411318,0.00006965,5000,2.41689796,5.66419088,0.09466998,25.55535889,25.45841026,138.73749927,0.96724021,0.91127185,74.23750000,0.31445644,26
6000,0.906016,0.402656,0.00006939,6000,1.60766635,6.32211724,0.13919730,28.05606842,27.89272308,140.59180292,0.96960174,0.91522029,73.25000000,0.30870644,31
7000,0.890349,0.393993,0.00006907,7000,0.87288918,6.79144026,0.16973778,28.80868340,28.94840050,145.88324695,0.96279426,0.90311332,77.70000000,0.31667797,36
8000,0.874682,0.388893,0.00006868,8000,0.55580965,6.95882883,0.20109009,29.06875038,29.17017555,150.29602523,0.95937898,0.91323827,80.21250000,0.32250000,41
9000,0.859016,0.380418,0.00006822,9000,0.45919159,7.08053101,0.20616601,29.09103394,28.90418434,149.59049270,0.95658425,0.90546497,79.70000000,0.31925000,46
10000,0.843349,0.377156,0.00006770,10000,0.46001808,7.03009011,0.21525624,29.02122307,29.10322571,150.29591568,0.95716966,0.90955123,81.50000000,0.32675000,51
11000,0.827682,0.360236,0.00006712,11000,0.48903291,6.95909054,0.23288720,28.69853020,28.92556190,140.99202762,0.96601779,0.93813415,75.76250000,0.30894841,58
12000,0.812016,0.351495,0.00006647,12000,0.56835289,6.86600134,0.24939613,28.37473488,28.33179283,139.00935753,0.97090399,0.94495646,71.81250000,0.29483578,63
13000,0.796349,0.343058,0.00006576,13000,0.62535249,6.89090508,0.23013817,28.49674034,28.64078331,139.84569365,0.97187424,0.94489941,71.32500000,0.29208578,68
14000,0.780682,0.336683,0.00006498,14000,0.65570120,6.90067687,0.22475427,28.65966225,28.48435402,140.12247489,0.97089334,0.94020088,70.10000000,0.28758578,73
15000,0.765016,0.323808,0.00006415,15000,0.65689382,6.90176591,0.22900499,28.14640236,28.28679085,154.08913082,0.96701124,0.92041495,77.60000000,0.30491667,79
16000,0.749349,0.314133,0.00006326,16000,0.66062937,6.89074304,0.24135810,28.45450401,28.60502625,154.09490938,0.96401125,0.91589709,76.92500000,0.30466667,84
17000,0.733682,0.307158,0.00006232,17000,0.64274558,6.94407408,0.23313644,28.80718040,28.86340332,156.07301011,0.96426253,0.92233659,76.97500000,0.30491667,89
18000,0.718016,0.296073,0.00006132,18000,0.63431237,6.90311731,0.24320857,28.59413147,28.65732384,156.00077574,0.96404305,0.91744667,76.11250000,0.30098451,94
19000,0.702349,0.285723,0.00006027,19000,0.62990638,6.91180812,0.25127653,28.40652275,28.28732300,160.29323397,0.96023558,0.92024148,77.28750000,0.30131784,99
20000,0.686682,0.275561,0.00005917,20000,0.64039714,6.87037356,0.25033744,28.59181976,28.69343567,161.37678472,0.96092539,0.92171215,77.12500000,0.29881784,104
21000,0.671016,0.265473,0.00005803,21000,0.65844519,6.84446879,0.24386807,28.35996437,28.51169395,160.17009824,0.96030346,0.91034352,76.08750000,0.29256784,109
22000,0.655349,0.262061,0.00005684,22000,0.66840890,6.82037420,0.23657735,28.46434975,28.28742218,161.20792435,0.96041374,0.91479677,78.66250000,0.30400000,114
23000,0.639682,0.250000,0.00005560,23000,0.68185459,6.81546099,0.23530303,28.36313629,28.54935646,162.15104295,0.96420879,0.91640317,77.37500000,0.29660079,119
24000,0.624016,0.250000,0.00005433,24000,0.67593141,6.82042779,0.23111734,28.48261833,28.66184044,150.25104774,0.96771732,0.92059341,72.31250000,0.28707528,125
25000,0.608349,0.250000,0.00005302,25000,0.67115431,6.78822836,0.23474156,28.32662201,28.41195679,149.13336821,0.96884527,0.91458026,70.78750000,0.28265451,130
26000,0.592682,0.250000,0.00005167,26000,0.69672671,6.76858530,0.22949132,28.07478905,27.93633080,144.79330701,0.97129391,0.90962126,67.17500000,0.27326808,136
27000,0.577016,0.250000,0.00005029,27000,0.71737192,6.76747991,0.23573635,28.20076561,28.09973145,142.82326118,0.96903636,0.90008329,67.47500000,0.27876808,141
28000,0.561349,0.252138,0.00004888,28000,0.71681414,6.75012365,0.24063423,28.33168983,28.46694756,151.64678329,0.96920597,0.89066426,73.53750000,0.29757930,146
29000,0.545682,0.250075,0.00004744,29000,0.71596966,6.76394962,0.23019091,28.48709297,28.60522270,149.80422312,0.96771252,0.90070263,72.15000000,0.29668404,152
30000,0.530016,0.250000,0.00004598,30000,0.72032564,6.73980146,0.23884558,28.07928467,27.99226952,139.62447390,0.97172946,0.91895065,64.92500000,0.28201732,159
31000,0.514349,0.251125,0.00004450,31000,0.73654274,6.68752473,0.24730064,28.26012230,27.52266502,144.33631346,0.97114436,0.93522728,68.95000000,0.29648160,164
32000,0.498682,0.251950,0.00004300,32000,0.74306550,6.70135138,0.23412989,28.03134155,27.91459084,148.81458646,0.96795116,0.93332960,72.87500000,0.31250269,169
33000,0.483016,0.252138,0.00004149,33000,0.73620607,6.72092208,0.23187695,28.19496727,28.33730507,152.83032734,0.96695846,0.93857118,79.87500000,0.33825269,174
34000,0.467349,0.250000,0.00003996,34000,0.73537086,6.69470330,0.22842010,28.23901367,28.40749550,157.06159259,0.96428198,0.92177193,85.42500000,0.35701071,179
35000,0.451682,0.250000,0.00003843,35000,0.74833876,6.67241208,0.23714701,28.36717987,28.21034241,140.56710409,0.96825812,0.90707159,73.53750000,0.32338128,186
36000,0.436016,0.250937,0.00003689,36000,0.75741860,6.69488345,0.22913876,27.91804504,28.01211548,128.98059622,0.97089273,0.90550572,61.58750000,0.28536908,193
37000,0.420349,0.253075,0.00003534,37000,0.77030002,6.65796812,0.23161317,28.24115562,28.35946083,129.25223040,0.96993998,0.91479209,61.62500000,0.28076032,198
38000,0.404682,0.259638,0.00003380,38000,0.77059761,6.67559051,0.23248845,28.09105492,28.28307152,139.04394901,0.96542664,0.92720343,69.56250000,0.30716942,203
39000,0.389016,0.263045,0.00003226,39000,0.77044107,6.69592776,0.22978319,28.22639465,28.33145142,133.70918236,0.96890785,0.92501504,77.41250000,0.35252290,209
40000,0.373349,0.256970,0.00003073,40000,0.75489547,6.72535920,0.22786107,28.27582359,28.41066933,145.93997930,0.96863602,0.92437361,84.50000000,0.36303511,214
41000,0.357682,0.253787,0.00002920,41000,0.75672751,6.70066738,0.22257530,28.33941841,28.48322105,147.52544994,0.96698749,0.90787595,83.51250000,0.35953394,220
42000,0.342016,0.255648,0.00002769,42000,0.76642986,6.69691716,0.22013603,27.93750954,27.85401344,143.79428262,0.96723493,0.89352145,77.37500000,0.34153569,225
43000,0.326349,0.250000,0.00002620,43000,0.78650132,6.66320203,0.23634487,28.13955688,27.95146942,154.23030701,0.96245427,0.90099311,80.03750000,0.33895382,230
44000,0.310682,0.250000,0.00002472,44000,0.79706789,6.66385004,0.23003468,28.18689919,28.31561852,153.36207173,0.95921314,0.89505876,75.15000000,0.32272812,236
45000,0.295016,0.250000,0.00002326,45000,0.79931480,6.66811149,0.22933481,28.00624084,27.41082191,154.19604856,0.96090191,0.89697764,73.62500000,0.31147812,241
46000,0.279349,0.250000,0.00002183,46000,0.80440814,6.65439951,0.22630582,28.02943230,27.71261024,152.66842446,0.95980553,0.90730726,72.05000000,0.30298065,246
47000,0.263682,0.250000,0.00002043,47000,0.81221188,6.63414942,0.22881977,28.03521729,27.83246803,152.99123160,0.96190735,0.90752168,71.20000000,0.29798065,251
48000,0.248016,0.253525,0.00001906,48000,0.80736616,6.66561432,0.22445302,28.06980324,27.62294769,155.24650262,0.95832333,0.90778816,77.68750000,0.32605556,256
49000,0.232349,0.257088,0.00001772,49000,0.81027890,6.66638596,0.23159589,27.90082741,28.08078575,154.45267455,0.95481003,0.90972873,81.88750000,0.35155556,261
50000,0.216682,0.256375,0.00001641,50000,0.80530389,6.66644050,0.22322463,28.09249306,28.18121910,160.80596262,0.95537712,0.91437367,86.90000000,0.37000000,266
51000,0.201016,0.250263,0.00001515,51000,0.80498867,6.65319210,0.22352975,27.98583794,28.13971901,161.73097025,0.95652889,0.92115601,88.43750000,0.37425000,271
