step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.445800,0.00007000,1000,,,,0.03332338,0.89155084,154.46460088,0.96190587,,84.40000000,0.33500000,5
2000,0.968682,0.438900,0.00007000,2000,0.04861111,0.23394071,1.03903016,4.27654219,4.31934690,154.60547691,0.95721391,,82.60000000,0.32700000,10
3000,0.953016,0.430558,0.00006995,3000,0.17838813,0.44716031,1.19013887,17.56368256,17.35206413,147.29693731,0.96417180,,76.35000000,0.32311829,15
4000,0.937349,0.421209,0.00006983,4000,0.49142391,0.85565701,1.79680658,28.42144775,28.36595917,147.92362288,0.96647994,,75.05000000,0.31637098,21
5000,0.921682,0.413522,0.00006965,5000,0.82075864,1.22321317,2.09827133,37.37160110,37.09389114,148.90641780,0.96773311,,74.71250000,0.31612098,26
6000,0.906016,0.405009,0.00006939,6000,1.10419890,1.52621419,2.33720424,44.89889526,44.87789917,150.31764455,0.96963105,,73.75000000,0.31137098,31
7000,0.890349,0.395409,0.00006907,7000,1.35131264,1.78403183,2.41056361,51.08525467,51.29426956,156.82033886,0.96345646,,77.61250000,0.31428226,36
8000,0.874682,0.385284,0.00006868,8000,1.57106919,2.01137212,2.52514819,56.94771957,56.62704468,160.35141876,0.95983161,,78.02500000,0.31075000,41
9000,0.859016,0.373172,0.00006822,9000,1.74618121,2.19064835,2.62496515,60.96520615,60.68283081,161.43841874,0.95851795,,76.55000000,0.30250000,46
10000,0.843349,0.361959,0.00006770,10000,1.87304782,2.32138156,2.65132787,64.82953644,64.22611237,162.60214724,0.95860493,,75.65000000,0.29775000,51
11000,0.827682,0.340019,0.00006712,11000,2.03379574,2.48446887,2.71389511,68.03710175,68.28577423,150.44883222,0.96599239,,67.38750000,0.28049624,58
12000,0.812016,0.325378,0.00006647,12000,2.14465659,2.59719447,2.72854638,71.10826874,70.53614044,148.40818773,0.97001708,,63.41250000,0.26851707,63
13000,0.796349,0.309178,0.00006576,13000,2.21669350,2.67087895,2.75636718,73.44252777,73.37695312,149.85295639,0.96993252,,62.07500000,0.26126707,68
14000,0.780682,0.294178,0.00006498,14000,2.29595955,2.75141923,2.78053146,75.37915802,74.53927612,151.14933608,0.96943382,,61.15000000,0.25651707,73
15000,0.765016,0.277794,0.00006415,15000,2.36105881,2.81763840,2.81789795,77.00684357,77.17099762,164.04672496,0.96765116,,66.27500000,0.25833829,78
16000,0.749349,0.260019,0.00006326,16000,2.42717099,2.88458486,2.80670500,78.39945984,77.50292969,169.31189190,0.96427830,,67.11250000,0.25381746,83
17000,0.733682,0.250000,0.00006232,17000,2.49408318,2.95254681,2.85544916,79.32276154,79.55162811,170.13920349,0.96303533,,67.23750000,0.25806746,88
18000,0.718016,0.250000,0.00006132,18000,2.50247540,2.96083572,2.90743452,79.85629272,81.21051788,171.08799875,0.96309162,,67.26250000,0.25806746,93
19000,0.702349,0.250000,0.00006027,19000,2.55759863,3.01677019,2.90326031,81.22994232,80.88994598,174.75995999,0.95968890,,66.95000000,0.25200000,98
20000,0.686682,0.250000,0.00005917,20000,2.58200557,3.04106985,2.92632169,82.45590973,81.97897339,175.14203941,0.95846601,,65.91250000,0.24650000,103
21000,0.671016,0.250000,0.00005803,21000,2.63683360,3.09607990,2.87895452,83.44315338,82.17342377,175.73240756,0.95852141,,63.88750000,0.23300000,108
22000,0.655349,0.250000,0.00005684,22000,2.59104356,3.05059486,2.91054363,83.92421722,83.78910065,175.99160300,0.95844239,,62.78750000,0.23075000,113
23000,0.639682,0.250000,0.00005560,23000,2.66845303,3.12897221,2.89953808,84.53243256,83.31509399,176.96750318,0.96172814,,61.51250000,0.22250000,118
24000,0.624016,0.250000,0.00005433,24000,2.65206789,3.11223740,2.94214617,84.53147888,84.72801971,164.85852206,0.96658949,,56.03750000,0.20940049,125
25000,0.608349,0.250000,0.00005302,25000,2.66909562,3.13002907,2.94880019,84.77146149,84.07467651,165.09972161,0.96886858,,55.52500000,0.20475411,130
26000,0.592682,0.250000,0.00005167,26000,2.68283087,3.14324133,2.92886618,84.62090302,84.41703033,164.92287165,0.96959825,,54.27500000,0.19975144,135
27000,0.577016,0.250000,0.00005029,27000,2.68887030,3.14920344,2.92210025,85.50389862,84.68460846,160.83461184,0.96942257,,52.68750000,0.19856000,140
28000,0.561349,0.250000,0.00004888,28000,2.71892751,3.17968292,3.02850770,85.82363892,85.65313721,171.62499366,0.96928456,,55.16250000,0.19976203,146
