step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.446063,0.00007000,1000,,,,0.03582884,0.88290358,146.14492323,0.96318856,0.92110361,84.75000000,0.33700000,5
2000,0.968682,0.439013,0.00007000,2000,0.05168035,0.24299298,1.13474780,3.75187802,3.80002022,144.67530931,0.95735459,0.90778084,82.67500000,0.32750000,10
3000,0.953016,0.429083,0.00006995,3000,0.16786254,0.43533158,1.57593886,15.46196270,15.09241486,137.18076937,0.96489483,0.91409568,75.98333333,0.32037130,15
4000,0.937349,0.418965,0.00006983,4000,0.44388186,0.80145534,2.30958661,25.32258415,25.15987206,137.38336894,0.96655142,0.90828234,74.42500000,0.31345644,21
5000,0.921682,0.412440,0.00006965,5000,0.73049637,1.12602005,2.60951763,33.23874283,33.12434006,138.66139144,0.96717851,0.91146137,74.38750000,0.31570644,26
6000,0.906016,0.403365,0.00006939,6000,0.99338722,1.40885757,2.77261495,40.49971008,40.09418488,140.57744582,0.96935558,0.91548706,73.28750000,0.31095644,31
7000,0.890349,0.394515,0.00006907,7000,1.19047414,1.61660208,2.81010166,45.89606094,46.18616104,145.92368503,0.96249545,0.90359287,77.66250000,0.31867797,36
8000,0.874682,0.384353,0.00006868,8000,1.38840989,1.82183196,2.80237928,51.11614990,50.87089157,150.95017338,0.95894948,0.91330027,78.46250000,0.31725000,41
9000,0.859016,0.371603,0.00006822,9000,1.50564499,1.94359764,2.84919060,54.80720901,54.54447937,150.61290125,0.95600169,0.90369156,76.38750000,0.30750000,46
10000,0.843349,0.360503,0.00006770,10000,1.62379484,2.06575520,2.80636908,58.16778946,58.32429886,151.64620971,0.95626371,0.90353745,75.71250000,0.30475000,51
11000,0.827682,0.334112,0.00006712,11000,1.75701612,2.20160481,2.82529150,61.31180954,61.49982071,142.94584765,0.96480318,0.92804833,67.23750000,0.27694841,58
12000,0.812016,0.318975,0.00006647,12000,1.85819885,2.30471223,2.85705904,64.11745453,63.52163315,141.36062716,0.96952321,0.93533189,63.32500000,0.26508578,63
13000,0.796349,0.302962,0.00006576,13000,1.89094079,2.33934253,2.83123015,65.97466278,65.91202545,142.83343703,0.97057802,0.93536768,62.17500000,0.25958578,68
14000,0.780682,0.288000,0.00006498,14000,1.94093435,2.39095336,2.87778888,67.92403412,67.43579865,143.88409382,0.96993558,0.93288766,61.08750000,0.25483578,73
15000,0.765016,0.267925,0.00006415,15000,2.02051737,2.47116304,2.93536255,69.47766876,69.55583954,158.89214767,0.96602537,0.91390080,67.90000000,0.26916667,79
16000,0.749349,0.250000,0.00006326,16000,2.08101103,2.53325647,2.90515097,70.82174683,70.87636566,159.12349009,0.96300446,0.90771820,66.63750000,0.26466667,84
17000,0.733682,0.250000,0.00006232,17000,2.10982706,2.56271546,2.91517829,71.82268524,72.00045776,161.28557132,0.96291554,0.91330544,66.56250000,0.26641667,89
18000,0.718016,0.250000,0.00006132,18000,2.16179753,2.61487558,2.95971611,72.07572174,73.16789246,161.03692019,0.96221496,0.90974461,67.51250000,0.27122320,94
19000,0.702349,0.250000,0.00006027,19000,2.19265074,2.64611309,3.01454210,73.36426544,73.00094604,164.93832106,0.95829794,0.91002572,67.40000000,0.26655653,99
20000,0.686682,0.250000,0.00005917,20000,2.21796234,2.67213694,3.00839573,74.19351959,74.47054291,165.47370731,0.95880301,0.91153007,67.15000000,0.26430653,104
21000,0.671016,0.250000,0.00005803,21000,2.23425805,2.68854718,2.94841171,75.22835541,75.11426544,163.77380496,0.95741852,0.90099931,65.52500000,0.25680653,109
22000,0.655349,0.250000,0.00005684,22000,2.24013662,2.69477464,3.02160498,75.90406799,74.77989197,163.37609502,0.95761878,0.89819298,65.05000000,0.25475000,114
23000,0.639682,0.250000,0.00005560,23000,2.25836052,2.71327289,3.02635764,75.83528900,75.57309723,163.29855209,0.96122629,0.89846576,64.00000000,0.24854188,119
24000,0.624016,0.250000,0.00005433,24000,2.23460580,2.68961560,3.06320742,76.25563812,76.27074432,150.79951401,0.96455035,0.90332994,59.08750000,0.24001637,125
25000,0.608349,0.250000,0.00005302,25000,2.22488032,2.67921541,3.05187508,76.33424377,76.44351196,148.94659425,0.96640850,0.89754290,59.15000000,0.24046856,130
26000,0.592682,0.250000,0.00005167,26000,2.22988759,2.68461953,3.09052680,76.25321198,75.98094940,146.10046423,0.96881867,0.90425377,56.36250000,0.23519203,136
27000,0.577016,0.250000,0.00005029,27000,2.22518414,2.67962849,3.13794154,76.91016388,76.26899719,143.79618969,0.96674489,0.88956053,53.82500000,0.22494203,141
28000,0.561349,0.250000,0.00004888,28000,2.22570710,2.68018689,3.21606704,77.05023193,76.97550201,152.10701802,0.96716979,0.87038337,55.65000000,0.22286603,146
29000,0.545682,0.250000,0.00004744,29000,2.23363888,2.68852945,3.11431979,77.14350891,77.64339447,148.44624874,0.96566017,0.86852800,52.00000000,0.21025407,152
30000,0.530016,0.250000,0.00004598,30000,2.26119573,2.71564046,3.09657325,77.76769257,76.82689667,137.30912619,0.96934032,0.87889068,45.01250000,0.19403524,159
31000,0.514349,0.250000,0.00004450,31000,2.26886874,2.72277102,3.09781961,77.76863861,75.25778961,143.47398780,0.96930086,0.90085254,46.31250000,0.19763674,164
32000,0.498682,0.250000,0.00004300,32000,2.23423240,2.68865361,3.08034968,77.35080719,76.62506104,147.32095969,0.96603292,0.89319678,48.20000000,0.20521505,169
33000,0.483016,0.250000,0.00004149,33000,2.21011028,2.66385347,3.07968137,77.34880829,77.16275787,152.55755858,0.96525459,0.90036480,51.97500000,0.21671505,174
34000,0.467349,0.250000,0.00003996,34000,2.21680410,2.67075957,3.06831104,77.78401947,77.79308319,156.03428980,0.96260150,0.87922604,56.16250000,0.22757176,179
35000,0.451682,0.250000,0.00003843,35000,2.23170548,2.68614128,3.10316154,77.93428040,76.43463135,139.78877892,0.96638655,0.87044916,47.25000000,0.20731906,186
36000,0.436016,0.250000,0.00003689,36000,2.22874454,2.68310763,3.10108016,77.65774536,76.94237518,128.84955690,0.96880778,0.87959680,41.12500000,0.19468977,193
37000,0.420349,0.250000,0.00003534,37000,2.21907569,2.67297998,3.14498914,77.03330231,77.49977112,127.58388183,0.96866745,0.87993258,39.73750000,0.18825036,198
38000,0.404682,0.250000,0.00003380,38000,2.21448886,2.66852899,3.13722221,77.37380981,77.63050079,137.73193335,0.96382509,0.88711279,43.56250000,0.19547763,203
39000,0.389016,0.250000,0.00003226,39000,2.21236645,2.66602750,3.15869166,76.70340729,77.23217010,133.69679546,0.96696507,0.88080703,43.90000000,0.19718036,209
40000,0.373349,0.250000,0.00003073,40000,2.18658714,2.63986189,3.09639544,76.99164581,77.56275177,146.34851782,0.96552332,0.87658127,47.11250000,0.19555966,214
41000,0.357682,0.250000,0.00002920,41000,2.19847093,2.65236640,3.15240376,77.42189789,77.30701447,149.17396141,0.96292294,0.86591521,46.01250000,0.18842334,220
42000,0.342016,0.250000,0.00002769,42000,2.19118785,2.64432398,3.14952987,76.80178833,76.21566772,146.57617892,0.96418147,0.86305711,43.15000000,0.17710107,225
