step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.445275,0.00007000,1000,,,,-0.12703690,0.90151453,146.33595213,0.96336623,0.91969353,83.70000000,0.33200000,5
2000,0.968682,0.439538,0.00007000,2000,0.03131726,0.29207196,0.58398470,3.37635136,3.27944970,144.68043030,0.95705497,0.90834159,83.02500000,0.33000000,10
3000,0.953016,0.432111,0.00006995,3000,0.10610486,0.80719578,0.45659472,14.70049000,14.04082870,136.96498249,0.96441850,0.91633101,77.46666667,0.32350850,15
4000,0.937349,0.419924,0.00006983,4000,0.27221181,1.78712134,0.67969461,23.98179817,21.84978294,137.73223746,0.96599676,0.91521724,75.01250000,0.31538561,21
5000,0.921682,0.413399,0.00006965,5000,0.40947690,2.58906274,0.78532752,31.52673531,30.04511833,138.35598085,0.96687596,0.91452003,74.70000000,0.31663561,26
6000,0.906016,0.404324,0.00006939,6000,0.51766173,3.22199059,0.87661342,38.00405121,36.22175980,140.33923575,0.96903757,0.91872971,73.47500000,0.31113561,31
7000,0.890349,0.395849,0.00006907,7000,0.61959614,3.80307595,0.91892066,43.37969589,40.79645157,145.97031344,0.96253507,0.90725312,77.42500000,0.31800424,36
8000,0.874682,0.387599,0.00006868,8000,0.69230928,4.25244347,0.95413928,47.64231873,45.11144638,149.93818474,0.95986480,0.91031284,79.22500000,0.31800000,41
9000,0.859016,0.373386,0.00006822,9000,0.74093634,4.61956439,0.98702651,52.10925293,50.69373703,149.70826079,0.95657997,0.90070535,76.66250000,0.30525000,46
10000,0.843349,0.360224,0.00006770,10000,0.78698802,5.02704206,0.98855085,55.25452805,51.71733475,151.22452023,0.95697944,0.90166586,75.30000000,0.30025000,51
11000,0.827682,0.351807,0.00006712,11000,0.82639468,5.30749766,1.04926688,57.68791580,55.03344727,142.30946329,0.96503868,0.92614170,67.30000000,0.30676190,58
12000,0.812016,0.340966,0.00006647,12000,0.83641737,5.55580034,1.04050002,60.29523849,58.29727554,140.81856745,0.96913457,0.93773290,64.86250000,0.30594597,63
13000,0.796349,0.325478,0.00006576,13000,0.84834054,5.77088188,1.03428633,62.68775558,59.44978714,141.49768164,0.97044714,0.93797688,65.13750000,0.30844597,68
14000,0.780682,0.313141,0.00006498,14000,0.85045304,5.94614821,1.03497065,64.75839233,61.73743820,141.96320176,0.96923697,0.93635793,65.00000000,0.30919597,73
15000,0.765016,0.296103,0.00006415,15000,0.85978669,6.18379880,1.03142669,66.61695862,59.98743820,155.73930372,0.96555850,0.90958922,70.88750000,0.29050000,79
16000,0.749349,0.281703,0.00006326,16000,0.85766101,6.22804072,1.06019582,66.98870850,63.47216797,155.73052312,0.96248349,0.90328217,70.25000000,0.29075000,84
17000,0.733682,0.267228,0.00006232,17000,0.84712841,6.44666597,1.01551580,68.02944946,63.62513351,158.44849306,0.96225093,0.91038992,69.27500000,0.28450000,89
18000,0.718016,0.252962,0.00006132,18000,0.84222657,6.50164399,1.01443111,68.82459259,65.42491150,157.59599866,0.96148338,0.90190923,69.70000000,0.28708291,94
19000,0.702349,0.250000,0.00006027,19000,0.82035889,6.55000744,0.98584391,69.97657013,65.08159637,163.30227439,0.95755736,0.91189206,70.70000000,0.28758291,99
20000,0.686682,0.250000,0.00005917,20000,0.82339880,6.68485571,0.98553584,70.74079132,63.56277084,163.70867266,0.95747689,0.90992133,70.22500000,0.28658291,104
21000,0.671016,0.250000,0.00005803,21000,0.79742257,6.73646588,0.96644294,70.96817780,66.28704071,162.60414329,0.95589996,0.90321780,71.10000000,0.29308291,109
22000,0.655349,0.250000,0.00005684,22000,0.78175193,6.74173540,0.94727468,71.08925629,67.95355988,163.07033967,0.95609146,0.90364226,70.58750000,0.29100000,114
23000,0.639682,0.250000,0.00005560,23000,0.75460064,6.78951635,0.93913044,71.33111572,68.19344330,162.79991504,0.95905911,0.90452356,70.90000000,0.29125654,119
24000,0.624016,0.250000,0.00005433,24000,0.74565611,6.85282496,0.90219248,71.01885986,68.71799469,150.07956048,0.96259119,0.90294868,64.28750000,0.28598103,125
25000,0.608349,0.250000,0.00005302,25000,0.72423591,6.81623998,0.89264372,71.94237518,64.66741943,149.82920314,0.96377545,0.90486351,63.90000000,0.28538677,130
26000,0.592682,0.250000,0.00005167,26000,0.70051147,6.79005975,0.89128811,70.85391998,69.69676971,146.15204730,0.96656793,0.90526684,60.48750000,0.27492970,136
27000,0.577016,0.250000,0.00005029,27000,0.68998825,6.89668865,0.88221317,71.43888092,65.11777496,144.16012448,0.96520293,0.89241661,58.17500000,0.26442970,141
28000,0.561349,0.250000,0.00004888,28000,0.66727363,6.86583069,0.86785897,71.89368439,67.43390656,154.85307423,0.96565851,0.89558081,62.70000000,0.26336122,146
29000,0.545682,0.250000,0.00004744,29000,0.65456628,6.89076265,0.84506471,72.14401245,64.03143311,152.29788541,0.96437087,0.90138966,61.02500000,0.25771273,152
30000,0.530016,0.250000,0.00004598,30000,0.63516581,6.96101949,0.82970488,72.36171722,69.05058289,141.50140005,0.96776801,0.91606770,55.66250000,0.24775807,159
31000,0.514349,0.250000,0.00004450,31000,0.62025707,6.98099704,0.80402753,72.70177460,66.93131256,146.79887638,0.96774206,0.93018811,57.23750000,0.25135205,164
32000,0.498682,0.250000,0.00004300,32000,0.60180962,6.95133789,0.77990527,71.79187775,70.47544098,150.35760868,0.96443406,0.91995052,58.21250000,0.25532796,169
33000,0.483016,0.250000,0.00004149,33000,0.57935341,6.92792228,0.76910052,71.86145782,69.03907013,155.44042094,0.96343763,0.92368648,57.78750000,0.24782796,174
34000,0.467349,0.250000,0.00003996,34000,0.57040274,6.97156700,0.76168415,72.63137817,67.61833954,158.92590442,0.96071111,0.89960401,60.88750000,0.25787014,179
35000,0.451682,0.250000,0.00003843,35000,0.55396257,7.06527273,0.75441950,72.51905060,67.13782501,143.24543398,0.96443844,0.89682314,52.53750000,0.23419077,186
36000,0.436016,0.250000,0.00003689,36000,0.55037695,7.16234090,0.73934091,72.96430206,66.99293518,129.95380956,0.96767107,0.89570877,47.61250000,0.22424004,193
37000,0.420349,0.250000,0.00003534,37000,0.53893828,7.17293863,0.74956636,73.19548798,69.60776520,130.99125933,0.96772012,0.90846840,46.96250000,0.21923264,198
