step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.445313,0.00007000,1000,,,,-0.14284329,1.28137982,154.71776526,0.96171467,,83.75000000,0.33200000,5
2000,0.968682,0.438150,0.00007000,2000,0.06070986,0.25174943,1.17768502,5.66763353,5.73920679,154.83126614,0.95710535,,82.10000000,0.32450000,10
3000,0.953016,0.429980,0.00006995,3000,0.29614786,0.60599475,1.48617916,24.46632957,24.43698883,147.43716239,0.96412592,,76.08333333,0.32145162,15
4000,0.937349,0.420481,0.00006983,4000,0.81101341,1.21213931,2.16072391,40.12656021,39.94792557,148.05174640,0.96639233,,74.80000000,0.31512098,21
5000,0.921682,0.412794,0.00006965,5000,1.30453155,1.73476605,2.44127074,52.74224854,52.36771774,148.98891665,0.96768726,,74.61250000,0.31562098,26
6000,0.906016,0.404469,0.00006939,6000,1.72880917,2.17282411,2.69308611,63.26948166,63.95948792,150.34717650,0.96967297,,73.81250000,0.31137098,31
7000,0.890349,0.394644,0.00006907,7000,2.08890481,2.54137104,2.80923245,72.25664520,72.51804352,156.89323786,0.96344658,,77.55000000,0.31428226,36
8000,0.874682,0.385081,0.00006868,8000,2.40034162,2.85746438,2.89412837,80.49915314,80.10005951,160.35933097,0.95995204,,78.20000000,0.31075000,41
9000,0.859016,0.372519,0.00006822,9000,2.65579908,3.11672016,3.05175495,86.75844574,85.99947357,161.47835757,0.95855811,,76.57500000,0.30250000,46
10000,0.843349,0.361306,0.00006770,10000,2.85071171,3.31397889,3.10748797,92.53747559,91.48583984,162.65815025,0.95859140,,75.61250000,0.29775000,51
11000,0.827682,0.338709,0.00006712,11000,3.08883918,3.55382190,3.12531839,97.37741089,97.53726959,150.50394737,0.96593948,,67.33750000,0.28049624,58
12000,0.812016,0.324409,0.00006647,12000,3.26732518,3.73400302,3.15457603,100.87802124,100.27587891,148.49892613,0.96994501,,63.28750000,0.26851707,63
13000,0.796349,0.307571,0.00006576,13000,3.37472029,3.84235606,3.19200274,105.45796967,105.18395996,149.91290933,0.96965370,,61.91250000,0.26151707,68
14000,0.780682,0.291971,0.00006498,14000,3.50228304,3.97109497,3.27851284,107.57474518,107.30804443,151.22236585,0.96902098,,60.90000000,0.25676707,73
15000,0.765016,0.274866,0.00006415,15000,3.61429411,4.08375866,3.31481831,110.32891083,110.16471100,164.19724394,0.96722308,,65.82500000,0.25883829,78
16000,0.749349,0.256679,0.00006326,16000,3.69816336,4.16749735,3.28103899,112.58234406,111.41827393,169.55399470,0.96376970,,66.42500000,0.25431746,83
17000,0.733682,0.250000,0.00006232,17000,3.78424042,4.25404929,3.33968273,114.17678070,114.29272461,170.40326067,0.96327253,,67.05000000,0.25831746,88
18000,0.718016,0.250000,0.00006132,18000,3.82395053,4.29428175,3.40024140,116.60486603,116.07595825,171.29125467,0.96348592,,67.26250000,0.25831746,93
19000,0.702349,0.250000,0.00006027,19000,3.90001858,4.37093549,3.31236874,117.78305054,116.21036530,174.88994170,0.95969915,,66.77500000,0.25200000,98
20000,0.686682,0.250000,0.00005917,20000,3.95091919,4.42189930,3.41841949,118.08651733,117.40244293,175.24063803,0.95818453,,65.41250000,0.24650000,103
21000,0.671016,0.250000,0.00005803,21000,4.00812381,4.47908461,3.36728719,119.30884552,118.38997650,175.76253950,0.95757832,,63.01250000,0.23325000,108
22000,0.655349,0.250000,0.00005684,22000,3.95758124,4.42838170,3.39146679,120.97098541,121.30834198,175.93451532,0.95870383,,63.22500000,0.23100000,113
23000,0.639682,0.250000,0.00005560,23000,4.03190310,4.50319551,3.40906787,121.64516449,119.69698334,176.93385371,0.96234114,,62.13750000,0.22300000,118
24000,0.624016,0.250000,0.00005433,24000,4.03372368,4.50588192,3.39322355,122.40402985,121.80447388,164.83882614,0.96791288,,57.17500000,0.21015049,125
25000,0.608349,0.250000,0.00005302,25000,4.07552637,4.54714044,3.39166545,122.29196930,121.36313629,165.22459423,0.96930855,,55.37500000,0.20525411,130
