step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.445275,0.00007000,1000,,,,-0.13638373,1.26743746,146.33595213,0.96336623,0.91969353,83.70000000,0.33200000,5
2000,0.968682,0.438038,0.00007000,2000,0.06239337,0.25703801,1.18778841,5.36769819,5.39720869,144.88398195,0.95742127,0.90718848,82.02500000,0.32450000,10
3000,0.953016,0.428399,0.00006995,3000,0.27764761,0.58365452,1.46778953,23.01194191,22.74094582,137.24826205,0.96495553,0.91347568,75.66666667,0.31870464,15
4000,0.937349,0.418143,0.00006983,4000,0.76055397,1.15742562,2.13530200,37.85757065,37.65313339,137.48250306,0.96658283,0.90789284,74.15000000,0.31195644,21
5000,0.921682,0.411281,0.00006965,5000,1.22062823,1.64828885,2.46545006,49.90386963,49.58400345,138.68885318,0.96721078,0.91096817,74.25000000,0.31445644,26
6000,0.906016,0.402056,0.00006939,6000,1.64720494,2.08867101,2.69116943,60.01081467,60.06208801,140.51991334,0.96949226,0.91461682,73.17500000,0.30895644,31
7000,0.890349,0.392793,0.00006907,7000,1.96384493,2.41385066,2.78938156,68.55417633,68.89853668,145.85360556,0.96284607,0.90220224,77.35000000,0.31517797,36
8000,0.874682,0.383268,0.00006868,8000,2.28277384,2.73816497,2.89610531,76.59740448,76.18645477,150.65231204,0.95963520,0.91113240,78.37500000,0.31350000,41
9000,0.859016,0.371006,0.00006822,9000,2.48677452,2.94589904,3.04676815,82.27631378,81.72541046,150.62026703,0.95688642,0.90359076,76.57500000,0.30450000,46
10000,0.843349,0.359943,0.00006770,10000,2.71183775,3.17372749,3.10621131,87.83185577,87.77798462,151.90385656,0.95711330,0.90487579,75.96250000,0.30200000,51
11000,0.827682,0.332690,0.00006712,11000,2.92874667,3.39269995,3.12725960,92.45413208,92.81954193,143.21577349,0.96542951,0.92927932,67.31250000,0.27269841,58
12000,0.812016,0.317590,0.00006647,12000,3.10543387,3.57104528,3.15839794,95.79138184,95.03820038,141.57085509,0.97000571,0.93590977,63.16250000,0.26033578,63
