step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
100,0.997649,0.450000,0.00030000,100,,,,,,,,,0
200,0.995274,0.450000,0.00030000,200,,,,,,,,,0
300,0.992899,0.448167,0.00030000,300,,,,189.67982571,0.97687643,0.87751787,105.00000000,0.30370370,1
400,0.990524,0.448167,0.00030000,400,,,,189.67982571,0.97687643,0.87751787,105.00000000,0.30370370,1
500,0.988149,0.448167,0.00030000,500,,,,189.67982571,0.97687643,0.87751787,105.00000000,0.30370370,1
600,0.985774,0.448167,0.00030000,600,,,,189.67982571,0.97687643,0.87751787,105.00000000,0.30370370,1
700,0.983399,0.448167,0.00030000,700,,,,189.67982571,0.97687643,0.87751787,105.00000000,0.30370370,1
800,0.981024,0.447687,0.00030000,800,,,,283.97372029,0.97393452,0.91427872,161.00000000,0.32585185,2
900,0.978649,0.447687,0.00030000,900,,,,283.97372029,0.97393452,0.91427872,161.00000000,0.32585185,2
1000,0.976274,0.447687,0.00030000,1000,,,,283.97372029,0.97393452,0.91427872,161.00000000,0.32585185,2
1100,0.973899,0.447687,0.00030000,1100,,,,283.97372029,0.97393452,0.91427872,161.00000000,0.32585185,2
1200,0.971524,0.447687,0.00030000,1200,,,,283.97372029,0.97393452,0.91427872,161.00000000,0.32585185,2
1300,0.969149,0.447267,0.00030000,1300,,,,314.22181217,0.97284726,0.92439494,180.00000000,0.33456790,3
1400,0.966774,0.447267,0.00030000,1400,,,,314.22181217,0.97284726,0.92439494,180.00000000,0.33456790,3
1500,0.964399,0.447267,0.00030000,1500,,,,314.22181217,0.97284726,0.92439494,180.00000000,0.33456790,3
1600,0.962024,0.447267,0.00030000,1600,,,,314.22181217,0.97284726,0.92439494,180.00000000,0.33456790,3
1700,0.959649,0.447267,0.00030000,1700,,,,314.22181217,0.97284726,0.92439494,180.00000000,0.33456790,3
1800,0.957274,0.446262,0.00030000,1800,,,,327.96462059,0.96894093,0.92446437,187.06250000,0.33342593,4
1900,0.954899,0.446262,0.00030000,1900,,,,327.96462059,0.96894093,0.92446437,187.06250000,0.33342593,4
2000,0.952524,0.446262,0.00030000,2000,,,,327.96462059,0.96894093,0.92446437,187.06250000,0.33342593,4
2100,0.950149,0.446262,0.00030000,2100,,,,327.96462059,0.96894093,0.92446437,187.06250000,0.33342593,4
2200,0.947774,0.446262,0.00030000,2200,,,,327.96462059,0.96894093,0.92446437,187.06250000,0.33342593,4
2300,0.945399,0.445842,0.00030000,2300,,,,335.63256866,0.96722636,0.92500726,193.25000000,0.33714074,5
2400,0.943024,0.445842,0.00030000,2400,,,,335.63256866,0.96722636,0.92500726,193.25000000,0.33714074,5
2500,0.940649,0.445842,0.00030000,2500,,,,335.63256866,0.96722636,0.92500726,193.25000000,0.33714074,5
2600,0.938274,0.445842,0.00030000,2600,,,,335.63256866,0.96722636,0.92500726,193.25000000,0.33714074,5
2700,0.935899,0.445842,0.00030000,2700,,,,335.63256866,0.96722636,0.92500726,193.25000000,0.33714074,5
2800,0.933524,0.446082,0.00030000,2800,,,,337.59756213,0.96364537,0.92067947,199.20833333,0.34428395,6
2900,0.931149,0.446082,0.00030000,2900,,,,337.59756213,0.96364537,0.92067947,199.20833333,0.34428395,6
