step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
100,0.997649,0.450000,0.00030000,100,,,,,,,,,0
200,0.995274,0.450000,0.00030000,200,,,,,,,,,0
300,0.992899,0.448167,0.00030000,300,,,,189.67982571,0.97687643,0.87751787,105.00000000,0.30370370,1
400,0.990524,0.448167,0.00030000,400,,,,189.67982571,0.97687643,0.87751787,105.00000000,0.30370370,1
500,0.988149,0.448167,0.00030000,500,,,,189.67982571,0.97687643,0.87751787,105.00000000,0.30370370,1
600,0.985774,0.448167,0.00030000,600,,,,189.67982571,0.97687643,0.87751787,105.00000000,0.30370370,1
700,0.983399,0.448167,0.00030000,700,,,,189.67982571,0.97687643,0.87751787,105.00000000,0.30370370,1
800,0.981024,0.447507,0.00030000,800,,,,284.38420661,0.97401222,0.91375519,159.50000000,0.32285185,2
900,0.978649,0.447507,0.00030000,900,,,,284.38420661,0.97401222,0.91375519,159.50000000,0.32285185,2
1000,0.976274,0.447507,0.00030000,1000,,,,284.38420661,0.97401222,0.91375519,159.50000000,0.32285185,2
1100,0.973899,0.447507,0.00030000,1100,,,,284.38420661,0.97401222,0.91375519,159.50000000,0.32285185,2
1200,0.971524,0.447507,0.00030000,1200,,,,284.38420661,0.97401222,0.91375519,159.50000000,0.32285185,2
1300,0.969149,0.446427,0.00030000,1300,,,,315.65721928,0.97294790,0.92306154,175.33333333,0.32523457,3
1400,0.966774,0.446427,0.00030000,1400,,,,315.65721928,0.97294790,0.92306154,175.33333333,0.32523457,3
1500,0.964399,0.446427,0.00030000,1500,,,,315.65721928,0.97294790,0.92306154,175.33333333,0.32523457,3
1600,0.962024,0.446427,0.00030000,1600,,,,315.65721928,0.97294790,0.92306154,175.33333333,0.32523457,3
1700,0.959649,0.446427,0.00030000,1700,,,,315.65721928,0.97294790,0.92306154,175.33333333,0.32523457,3
1800,0.957274,0.444522,0.00030000,1800,,,,330.21610090,0.96899593,0.92237851,179.81250000,0.31892593,4
1900,0.954899,0.444522,0.00030000,1900,,,,330.21610090,0.96899593,0.92237851,179.81250000,0.31892593,4
2000,0.952524,0.444522,0.00030000,2000,,,,330.21610090,0.96899593,0.92237851,179.81250000,0.31892593,4
2100,0.950149,0.444522,0.00030000,2100,,,,330.21610090,0.96899593,0.92237851,179.81250000,0.31892593,4
2200,0.947774,0.444522,0.00030000,2200,,,,330.21610090,0.96899593,0.92237851,179.81250000,0.31892593,4
2300,0.945399,0.443142,0.00030000,2300,,,,338.25762269,0.96731947,0.92198964,184.25000000,0.31914074,5
2400,0.943024,0.443142,0.00030000,2400,,,,338.25762269,0.96731947,0.92198964,184.25000000,0.31914074,5
2500,0.940649,0.443142,0.00030000,2500,,,,338.25762269,0.96731947,0.92198964,184.25000000,0.31914074,5
2600,0.938274,0.443142,0.00030000,2600,,,,338.25762269,0.96731947,0.92198964,184.25000000,0.31914074,5
2700,0.935899,0.443142,0.00030000,2700,,,,338.25762269,0.96731947,0.92198964,184.25000000,0.31914074,5
2800,0.933524,0.441642,0.00030000,2800,,,,340.58837221,0.96376781,0.91528152,186.87500000,0.31961728,6
2900,0.931149,0.441642,0.00030000,2900,,,,340.58837221,0.96376781,0.91528152,186.87500000,0.31961728,6
