step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
100,0.997649,0.450000,0.00030000,100,,,,,,,,,0
200,0.995274,0.450000,0.00030000,200,,,,,,,,,0
300,0.992899,0.448194,0.00030000,300,,,,189.56732571,0.97687643,0.87751787,105.25000000,0.30370370,1
400,0.990524,0.448194,0.00030000,400,,,,189.56732571,0.97687643,0.87751787,105.25000000,0.30370370,1
500,0.988149,0.448194,0.00030000,500,,,,189.56732571,0.97687643,0.87751787,105.25000000,0.30370370,1
600,0.985774,0.448194,0.00030000,600,,,,189.56732571,0.97687643,0.87751787,105.25000000,0.30370370,1
700,0.983399,0.448194,0.00030000,700,,,,189.56732571,0.97687643,0.87751787,105.25000000,0.30370370,1
800,0.981024,0.447594,0.00030000,800,,,,284.13954968,0.97412490,0.91383252,160.12500000,0.32285185,2
900,0.978649,0.447594,0.00030000,900,,,,284.13954968,0.97412490,0.91383252,160.12500000,0.32285185,2
1000,0.976274,0.447594,0.00030000,1000,,,,284.13954968,0.97412490,0.91383252,160.12500000,0.32285185,2
1100,0.973899,0.447594,0.00030000,1100,,,,284.13954968,0.97412490,0.91383252,160.12500000,0.32285185,2
1200,0.971524,0.447594,0.00030000,1200,,,,284.13954968,0.97412490,0.91383252,160.12500000,0.32285185,2
1300,0.969149,0.446724,0.00030000,1300,,,,314.83909458,0.97330217,0.92285955,176.91666667,0.32523457,3
1400,0.966774,0.446724,0.00030000,1400,,,,314.83909458,0.97330217,0.92285955,176.91666667,0.32523457,3
1500,0.964399,0.446724,0.00030000,1500,,,,314.83909458,0.97330217,0.92285955,176.91666667,0.32523457,3
1600,0.962024,0.446724,0.00030000,1600,,,,314.83909458,0.97330217,0.92285955,176.91666667,0.32523457,3
1700,0.959649,0.446724,0.00030000,1700,,,,314.83909458,0.97330217,0.92285955,176.91666667,0.32523457,3
1800,0.957274,0.445104,0.00030000,1800,,,,329.26997548,0.96971688,0.92265169,182.18750000,0.31892593,4
1900,0.954899,0.445104,0.00030000,1900,,,,329.26997548,0.96971688,0.92265169,182.18750000,0.31892593,4
2000,0.952524,0.445104,0.00030000,2000,,,,329.26997548,0.96971688,0.92265169,182.18750000,0.31892593,4
2100,0.950149,0.445104,0.00030000,2100,,,,329.26997548,0.96971688,0.92265169,182.18750000,0.31892593,4
2200,0.947774,0.445104,0.00030000,2200,,,,329.26997548,0.96971688,0.92265169,182.18750000,0.31892593,4
2300,0.945399,0.444039,0.00030000,2300,,,,336.90459360,0.96814293,0.92199774,187.20000000,0.31914074,5
2400,0.943024,0.444039,0.00030000,2400,,,,336.90459360,0.96814293,0.92199774,187.20000000,0.31914074,5
2500,0.940649,0.444039,0.00030000,2500,,,,336.90459360,0.96814293,0.92199774,187.20000000,0.31914074,5
2600,0.938274,0.444039,0.00030000,2600,,,,336.90459360,0.96814293,0.92199774,187.20000000,0.31914074,5
2700,0.935899,0.444039,0.00030000,2700,,,,336.90459360,0.96814293,0.92199774,187.20000000,0.31914074,5
2800,0.933524,0.442959,0.00030000,2800,,,,339.20264708,0.96510416,0.91586781,190.50000000,0.31928395,6
2900,0.931149,0.442959,0.00030000,2900,,,,339.20264708,0.96510416,0.91586781,190.50000000,0.31928395,6
