step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.982926,0.466575,0.00008000,1000,,,,-0.14004214,0.92469257,146.575364,0.92956172,86.100000,0.348000,5
2000,0.965835,0.482325,0.00007999,2000,0.06471177,0.26385147,0.88503201,7.30370855,7.26262903,143.911638,0.91846766,85.550000,0.344000,10
3000,0.948744,0.490530,0.00007989,3000,0.21797690,0.50863813,1.20674151,18.23008728,18.32674217,135.206225,0.91993212,78.033333,0.328852,15
4000,0.931653,0.506500,0.00007970,4000,0.48731205,0.85154010,1.67886411,27.83400917,27.40281677,133.896870,0.91470008,76.525000,0.323957,21
5000,0.914563,0.517900,0.00007941,5000,0.76769080,1.16560411,1.92200720,35.54892349,35.39456558,133.785913,0.91588481,75.100000,0.318707,26
6000,0.897472,0.528438,0.00007902,6000,1.00736320,1.42307639,2.08476709,41.80516052,41.62869644,133.916091,0.91764133,73.687500,0.311707,31
7000,0.880381,0.538975,0.00007855,7000,1.20712625,1.63363385,2.26319212,47.57469559,47.66485214,138.709012,0.90896063,77.050000,0.313068,36
8000,0.863290,0.545088,0.00007797,8000,1.39261075,1.82617907,2.33728548,52.06782532,51.49698257,142.456041,0.91464668,76.862500,0.305500,41
9000,0.846199,0.553975,0.00007731,9000,1.53133496,1.97059442,2.41572138,56.33000565,56.54751968,140.503758,0.90634946,76.025000,0.303000,46
10000,0.829108,0.562413,0.00007656,10000,1.63595025,2.07793079,2.46192343,59.34562302,59.61947250,140.752071,0.90915181,75.325000,0.302000,51
11000,0.812017,0.567337,0.00007572,11000,1.74763587,2.19218312,2.48000666,61.99290848,62.29442215,131.261236,0.93005014,66.475000,0.290734,58
12000,0.794926,0.569736,0.00007479,12000,1.85989189,2.30659749,2.56132996,64.79364777,64.67976379,128.612946,0.93724521,63.287500,0.281575,63
13000,0.777835,0.574761,0.00007378,13000,1.91817828,2.36649731,2.56298028,65.88074493,64.80680084,129.053999,0.93706358,61.825000,0.273825,68
14000,0.760744,0.580911,0.00007268,14000,1.94507045,2.39449229,2.59571822,67.33828735,67.54756927,128.405410,0.93580224,62.037500,0.276325,73
15000,0.743653,0.588461,0.00007151,15000,1.95964999,2.40952317,2.61116069,68.32341766,68.92339325,138.593116,0.91091197,70.275000,0.287333,79
16000,0.726563,0.591948,0.00007026,16000,1.99790784,2.44797340,2.60561195,69.08176422,68.74758148,137.594901,0.90789003,70.362500,0.287833,84
