step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.982926,0.447113,0.00008000,1000,,,,-0.17546964,0.92770082,153.579761,0.96138263,,86.150000,0.348000,5
2000,0.965835,0.442950,0.00007999,2000,0.06480673,0.26064430,0.87024933,8.25898743,8.21342945,153.171069,0.95677349,,85.300000,0.342500,10
3000,0.948744,0.433233,0.00007989,3000,0.24514412,0.54418547,1.25191469,20.42166138,20.52665329,146.252774,0.96408938,,78.250000,0.330707,15
4000,0.931653,0.425196,0.00007970,4000,0.56577153,0.94022406,1.73102616,31.05285645,30.28607368,147.000022,0.96669759,,76.687500,0.324329,21
5000,0.914563,0.417509,0.00007941,5000,0.87185957,1.27817506,1.98168447,39.69328690,39.47384644,148.297833,0.96760221,,75.387500,0.319329,26
6000,0.897472,0.408059,0.00007902,6000,1.14992753,1.57321803,2.14909402,46.61124039,46.45024490,149.993101,0.96979209,,73.937500,0.311829,31
7000,0.880381,0.397746,0.00007855,7000,1.38131959,1.81401750,2.31882873,53.04493332,53.15010452,157.141132,0.96436886,,76.650000,0.308048,36
8000,0.863290,0.384134,0.00007797,8000,1.56297713,2.00204631,2.40218787,58.03250122,57.99663925,160.974297,0.96069778,,76.312500,0.299750,41
9000,0.846199,0.373334,0.00007731,9000,1.73488939,2.17887131,2.46114118,62.74225235,63.01431274,161.941461,0.95945460,,75.275000,0.294750,46
10000,0.829108,0.362684,0.00007656,10000,1.87758503,2.32458725,2.53081991,66.07472229,66.40626526,162.980557,0.95969858,,74.875000,0.293000,51
11000,0.812017,0.337753,0.00007572,11000,2.00469768,2.45379191,2.55825620,69.17935181,69.44795990,150.647478,0.96574620,,66.600000,0.273288,58
12000,0.794926,0.322128,0.00007479,12000,2.12082841,2.57173479,2.60738439,72.27576447,72.09592438,148.243970,0.96937065,,63.487500,0.264496,63
13000,0.777835,0.306041,0.00007378,13000,2.21055642,2.66325265,2.62101199,74.09358978,73.68852997,149.980076,0.96920443,,61.550000,0.253996,68
14000,0.760744,0.290328,0.00007268,14000,2.27670437,2.73124833,2.68788471,76.06118011,76.24363708,151.224872,0.96863804,,60.975000,0.250996,73
15000,0.743653,0.273903,0.00007151,15000,2.33046303,2.78552140,2.70696768,77.79972076,78.18447113,164.162219,0.96690050,,66.112500,0.261335,78
16000,0.726563,0.256428,0.00007026,16000,2.38788027,2.84334329,2.70585894,78.87902832,79.16460419,169.504774,0.96393138,,67.175000,0.257127,83
17000,0.709472,0.250000,0.00006894,17000,2.40803117,2.86341756,2.73466276,80.12906647,79.64063263,170.830840,0.96404199,,66.362500,0.251877,88
18000,0.692381,0.250000,0.00006755,18000,2.44933092,2.90575489,2.73399020,81.69149780,81.49732208,172.222911,0.96525421,,65.125000,0.242877,93
19000,0.675290,0.250000,0.00006610,19000,2.50371418,2.96077715,2.78476562,82.35546875,82.56528473,175.729855,0.96082364,,64.525000,0.237000,98
20000,0.658199,0.250000,0.00006458,20000,2.53055872,2.98815989,2.77081310,83.39035034,83.11952209,176.191880,0.95940989,,62.650000,0.232000,103
21000,0.641108,0.250000,0.00006300,21000,2.56788131,3.02556763,2.73365910,84.24751282,83.25315094,176.131959,0.95756605,,61.525000,0.229750,108
22000,0.624017,0.250000,0.00006137,22000,2.57674009,3.03470433,2.77569165,84.62857819,85.23011780,176.539622,0.95685436,,59.325000,0.222250,113
23000,0.606926,0.250000,0.00005968,23000,2.59382028,3.05261632,2.78120449,85.09224701,85.33210754,177.659856,0.96089303,,58.075000,0.211500,118
24000,0.589835,0.250000,0.00005795,24000,2.62380704,3.08263435,2.83593269,86.32523346,85.64859009,165.535789,0.96589770,,52.775000,0.197150,125
25000,0.572744,0.250000,0.00005618,25000,2.62324381,3.08280428,2.78779494,86.35746002,84.52093506,165.777460,0.96799388,,52.112500,0.193077,130
26000,0.555653,0.250000,0.00005436,26000,2.61569375,3.07497216,2.79857970,86.08511353,86.51094818,165.248567,0.96821241,,51.862500,0.195970,135
27000,0.538563,0.250000,0.00005252,27000,2.61840255,3.07797541,2.78550021,86.45389557,86.32503510,161.150666,0.96758228,,49.950000,0.196028,140
28000,0.521472,0.250000,0.00005064,28000,2.61570546,3.07559334,2.80351726,86.18640137,86.88318634,171.956587,0.96690303,,51.937500,0.196980,146
29000,0.504381,0.250000,0.00004874,29000,2.62475810,3.08464370,2.79396242,86.72195435,86.41852570,167.917772,0.96586438,,48.575000,0.189555,151
30000,0.487290,0.250000,0.00004682,30000,2.64527845,3.10531203,2.82709954,86.66120148,86.51766205,155.346592,0.97086786,,43.462500,0.171302,158
31000,0.470199,0.250000,0.00004489,31000,2.61128054,3.07093341,2.78684679,86.68588257,86.40781403,155.403307,0.97060456,,43.025000,0.167802,163
32000,0.453108,0.250000,0.00004294,32000,2.63216286,3.09191589,2.74541117,86.73116302,86.98798370,163.444650,0.96800450,,43.425000,0.158306,168
