step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
2000,0.985392,0.477600,0.00005000,2000,,,,0.39699811,1.24546385,142.31269303,0.90214461,82.40000000,0.32500000,10
4000,0.970777,0.505607,0.00004999,4000,0.13446160,0.37733464,1.01584585,16.30092049,16.09201813,133.12530416,0.90433821,75.06250000,0.32288354,21
6000,0.956161,0.535120,0.00004995,6000,0.58006564,0.95206071,1.80782073,37.83860779,37.73555374,131.82394616,0.91100335,75.87500000,0.32888354,31
8000,0.941546,0.559645,0.00004987,8000,1.08189210,1.50064784,2.24882749,50.85628510,50.07041168,140.08050255,0.91884660,82.01250000,0.32825000,41
10000,0.926930,0.582707,0.00004974,10000,1.37780297,1.81006167,2.39023115,59.31478882,58.31545258,138.40031145,0.91497480,79.86250000,0.32050000,51
12000,0.912315,0.604941,0.00004957,12000,1.59042551,2.02949141,2.47671393,65.64462280,65.09130859,124.14254000,0.93749173,68.60000000,0.31017643,63
14000,0.897700,0.625941,0.00004936,14000,1.72640920,2.16932257,2.52395755,69.52482605,69.68005371,122.48304579,0.93560909,68.17500000,0.30817643,73
16000,0.883084,0.649891,0.00004911,16000,1.81642114,2.26163652,2.56657566,72.38665009,71.05402374,129.91686037,0.90610579,76.65000000,0.31641667,84
18000,0.868469,0.665132,0.00004882,18000,1.87023036,2.31656697,2.60187344,73.55628204,73.52546692,130.59606444,0.91102030,74.66250000,0.30623702,94
20000,0.853853,0.680357,0.00004849,20000,1.89741761,2.34433765,2.59220250,75.39355469,75.93156433,135.20534944,0.92249566,74.13750000,0.29832035,104
22000,0.839238,0.693182,0.00004812,22000,1.91259110,2.35976059,2.59047520,75.91389465,75.89123535,133.54435821,0.91669933,73.35000000,0.29650000,114
24000,0.824623,0.703821,0.00004770,24000,1.90330474,2.35037756,2.54196289,76.27482605,76.31730652,122.64204755,0.91434841,66.17500000,0.28122211,125
26000,0.810007,0.717305,0.00004726,26000,1.90643653,2.35311978,2.53814888,76.67695618,76.67135620,116.00330364,0.90078030,63.27500000,0.28087562,136
28000,0.795392,0.724809,0.00004677,28000,1.91127417,2.35790846,2.50493483,76.95298767,75.78054047,123.25885309,0.89738977,67.05000000,0.28401633,146
30000,0.780777,0.740837,0.00004624,30000,1.88595512,2.33225819,2.47351670,76.68858337,76.64744568,114.05608221,0.92274214,58.62500000,0.28501707,159
32000,0.766161,0.746124,0.00004569,32000,1.88984830,2.33608432,2.44219233,77.12705994,77.06914520,120.57939936,0.92339567,60.85000000,0.27915323,169
34000,0.751546,0.745974,0.00004509,34000,1.88809305,2.33442012,2.44192825,77.68597412,77.06765747,128.48152270,0.90644184,63.47500000,0.26225365,179
36000,0.736930,0.746836,0.00004446,36000,1.90061634,2.34669500,2.41393917,77.35250854,77.41988373,105.67626219,0.90824404,52.36250000,0.26204938,193
38000,0.722315,0.749036,0.00004380,38000,1.89244821,2.33825325,2.45237237,77.22386169,76.04058838,112.84163169,0.91775759,56.16250000,0.26460144,203
40000,0.707700,0.742429,0.00004311,40000,1.87425513,2.31994852,2.45258168,77.74710083,77.69455719,123.31141304,0.92037027,57.56250000,0.24888219,214
42000,0.693084,0.744182,0.00004239,42000,1.88451169,2.33003671,2.44652765,77.55936432,77.43173981,121.90595530,0.90293351,57.51250000,0.25023594,225
44000,0.678469,0.733988,0.00004163,44000,1.86321302,2.30850007,2.40741913,77.57329559,77.73060608,126.78640419,0.88447909,59.17500000,0.24699435,236
46000,0.663853,0.723425,0.00004085,46000,1.86654102,2.31169131,2.40216037,77.14301300,77.10977936,127.05767080,0.89237028,55.80000000,0.22962566,246
48000,0.649238,0.718513,0.00004004,48000,1.84824638,2.29332538,2.38079827,77.26702881,77.37100983,131.50224096,0.90135214,57.70000000,0.23730556,256
50000,0.634623,0.709025,0.00003921,50000,1.85285955,2.29751943,2.37158881,76.81603241,76.80832672,136.31385243,0.89415152,59.20000000,0.24000000,266
52000,0.620007,0.691888,0.00003836,52000,1.84023709,2.28461327,2.37973795,77.09550476,76.36994934,141.85669555,0.90450712,55.12500000,0.22200000,276
54000,0.605392,0.680395,0.00003748,54000,1.82480595,2.26904803,2.37322300,76.66423035,76.83795166,136.28184692,0.91632817,52.35000000,0.22397937,287
56000,0.590777,0.662770,0.00003658,56000,1.82187764,2.26593371,2.38487703,76.67464447,76.66679382,134.70122669,0.90018644,52.05000000,0.22257942,298
58000,0.576161,0.646870,0.00003566,58000,1.81600883,2.25972739,2.37314831,76.61344910,76.16539764,137.79505478,0.88679371,51.26250000,0.21168338,308
60000,0.561546,0.627208,0.00003472,60000,1.81799087,2.26166038,2.36362957,77.47953796,77.17474365,137.15965818,0.89730208,50.40000000,0.21429089,319
62000,0.546930,0.604176,0.00003377,62000,1.80109820,2.24467076,2.33153429,76.51385498,76.68901062,136.86479208,0.91648452,46.21250000,0.20554089,330
64000,0.532315,0.582788,0.00003280,64000,1.81108492,2.25454958,2.33981524,77.24642944,77.11661530,138.48528538,0.91393616,46.51250000,0.20617742,341
66000,0.517700,0.557666,0.00003182,66000,1.81499807,2.25870067,2.32186073,77.01266479,76.77640533,136.04890804,0.90451297,46.46250000,0.20447287,352
68000,0.503084,0.537283,0.00003083,68000,1.80859382,2.25218839,2.30099333,76.83215332,77.01800537,131.97604861,0.90502487,42.96250000,0.21401274,364
70000,0.488469,0.517446,0.00002983,70000,1.80423400,2.24753310,2.30427070,76.91630554,76.11202240,134.07409450,0.91221405,43.42500000,0.21701274,374
72000,0.473853,0.489868,0.00002882,72000,1.79068896,2.23382895,2.30431048,76.29832458,76.47792816,154.18705907,0.90388165,47.75000000,0.19927703,384
74000,0.459238,0.457212,0.00002780,74000,1.79436572,2.23744368,2.32163977,76.46394348,75.61656952,150.43932844,0.90754347,43.42500000,0.18688515,395
