step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.444525,0.00007000,1000,,,,-0.22514920,0.67908937,146.03433027,0.96253734,0.91538274,82.70000000,0.33000000,5
2000,0.968682,0.438750,0.00007000,2000,0.05492169,0.25387146,1.05405125,3.22839665,3.27723622,143.62577106,0.95640188,0.90173904,82.50000000,0.32800000,10
3000,0.953016,0.432277,0.00006995,3000,0.14390589,0.39516443,1.09216994,14.99859905,14.79866028,136.62745470,0.96328654,0.91528308,77.51666667,0.32801141,15
4000,0.937349,0.422900,0.00006983,4000,0.40934904,0.75751639,1.73550158,24.94015312,24.98673439,136.89522854,0.96481535,0.91243419,76.08750000,0.32433907,21
5000,0.921682,0.415250,0.00006965,5000,0.67116681,1.06048985,2.04825427,33.38920593,33.46812820,138.42562151,0.96629275,0.91576645,75.36250000,0.32083907,26
6000,0.906016,0.405463,0.00006939,6000,0.91994234,1.33036652,2.26770378,40.49076843,40.82468033,140.75806625,0.96855106,0.92216526,74.18750000,0.31583907,31
7000,0.890349,0.392525,0.00006907,7000,1.13951152,1.56186932,2.41086414,46.39022827,46.74248123,146.57472015,0.96300333,0.90624345,75.83750000,0.30733051,36
8000,0.874682,0.378950,0.00006868,8000,1.31628034,1.74766615,2.51958887,51.47994995,51.67065811,150.99654291,0.96005339,0.90775008,75.35000000,0.29975000,41
9000,0.859016,0.370850,0.00006822,9000,1.47851939,1.91567194,2.63940080,55.15074158,54.68785477,150.42493822,0.95638055,0.90026694,75.20000000,0.30125000,46
10000,0.843349,0.357013,0.00006770,10000,1.60152228,2.04229580,2.73251480,58.59043884,58.78858566,152.04966052,0.95680505,0.90130965,73.85000000,0.29600000,51
11000,0.827682,0.338664,0.00006712,11000,1.71013949,2.15331860,2.72503964,61.62499619,61.58967972,142.61230753,0.96461463,0.92720059,68.13750000,0.29664683,58
12000,0.812016,0.322602,0.00006647,12000,1.78739288,2.23284546,2.79771917,64.37347412,64.14539337,141.41370299,0.96951756,0.93677759,63.93750000,0.28428144,63
13000,0.796349,0.307377,0.00006576,13000,1.87411290,2.32100848,2.81526159,66.23043823,66.44114685,142.84680965,0.97062098,0.93717496,62.91250000,0.27953144,68
14000,0.780682,0.290915,0.00006498,14000,1.94728481,2.39625507,2.87748844,67.82151031,66.97751617,143.75366688,0.96948149,0.93415290,61.52500000,0.27453144,73
15000,0.765016,0.270065,0.00006415,15000,2.00283072,2.45235785,2.88748772,69.71012115,68.85900116,158.02368972,0.96626964,0.90921441,66.43750000,0.26725000,79
16000,0.749349,0.255552,0.00006326,16000,2.02912032,2.47952508,2.88669619,70.61187744,70.89158630,158.49774649,0.96368491,0.90716719,67.30000000,0.27150000,84
17000,0.733682,0.250000,0.00006232,17000,2.07568054,2.52674288,2.91897765,71.69610596,71.51641846,160.61393278,0.96344858,0.91040086,65.73750000,0.26525000,89
18000,0.718016,0.250000,0.00006132,18000,2.10561581,2.55762099,2.90742291,72.93071747,70.96138763,160.48224974,0.96225338,0.90393024,64.12500000,0.25980653,94
19000,0.702349,0.250000,0.00006027,19000,2.10459689,2.55713112,3.00307871,72.80904388,73.22556305,165.79720841,0.95837218,0.91396922,66.76250000,0.26580653,99
20000,0.686682,0.250000,0.00005917,20000,2.13609290,2.58897144,2.94839979,74.00142670,73.71314240,165.05979157,0.95857817,0.90795306,65.85000000,0.26180653,104
21000,0.671016,0.250000,0.00005803,21000,2.15192147,2.60483249,2.92146563,74.75023651,75.20214844,163.61736462,0.95712319,0.90066990,65.88750000,0.26205653,109
22000,0.655349,0.250000,0.00005684,22000,2.14656299,2.59968601,2.92645402,75.02625275,74.22985840,163.21191022,0.95825363,0.89788768,65.46250000,0.25700000,114
23000,0.639682,0.250000,0.00005560,23000,2.15147619,2.60476868,2.92456760,75.15526581,75.01136017,162.62782494,0.96088319,0.89279338,62.21250000,0.24338874,119
24000,0.624016,0.250000,0.00005433,24000,2.17641668,2.62989837,2.90251113,76.17164612,76.05380249,149.45964187,0.96394237,0.88953023,55.47500000,0.22734283,125
25000,0.608349,0.250000,0.00005302,25000,2.18147815,2.63518658,2.89742411,76.18341064,76.47159576,149.10661506,0.96460906,0.89123706,55.55000000,0.23349856,130
26000,0.592682,0.250000,0.00005167,26000,2.18471819,2.63793981,2.85562460,75.70732880,75.22101593,144.53392527,0.96623647,0.88557821,52.78750000,0.22735993,136
27000,0.577016,0.250000,0.00005029,27000,2.17899141,2.63220955,2.84980119,76.41246033,76.44245148,145.10132265,0.96468753,0.88733708,51.92500000,0.22285993,141
