step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.445313,0.00007000,1000,,,,-0.14284329,0.97559929,154.71776526,0.96171467,,83.75000000,0.33200000,5
2000,0.968682,0.437963,0.00007000,2000,0.05140206,0.24126447,1.00886920,3.84858704,3.93040657,154.86180951,0.95696789,,81.97500000,0.32450000,10
3000,0.953016,0.429635,0.00006995,3000,0.16241452,0.42027203,1.07278293,17.24689484,17.08873940,147.48804722,0.96401384,,75.93333333,0.32145162,15
4000,0.937349,0.419897,0.00006983,4000,0.46218075,0.82113282,1.71009244,28.19597626,28.05866432,148.12375931,0.96623450,,74.60000000,0.31512098,21
5000,0.921682,0.411947,0.00006965,5000,0.77921104,1.17790623,2.01553803,36.83323669,36.75012589,149.10051799,0.96750192,,74.33750000,0.31562098,26
6000,0.906016,0.403247,0.00006939,6000,1.05814810,1.47645649,2.21574287,45.10711670,45.28425980,150.49695652,0.96945513,,73.46250000,0.31137098,31
7000,0.890349,0.393385,0.00006907,7000,1.30287060,1.73298373,2.36861910,51.55273056,51.78186417,157.04695430,0.96329051,,77.26250000,0.31428226,36
8000,0.874682,0.384047,0.00006868,8000,1.51304304,1.95089503,2.47349366,56.70998764,57.12770462,160.49385835,0.95992392,,78.05000000,0.31100000,41
9000,0.859016,0.371035,0.00006822,9000,1.68540399,2.12818544,2.53446688,61.80520630,61.16477585,161.62129096,0.95842688,,76.36250000,0.30275000,46
10000,0.843349,0.359897,0.00006770,10000,1.82348912,2.27033339,2.63365926,65.76925659,65.15124512,162.75843830,0.95850212,,75.55000000,0.29800000,51
11000,0.827682,0.336942,0.00006712,11000,1.96854450,2.41775074,2.66179202,68.99840546,69.33457184,150.62301559,0.96581862,,67.17500000,0.28049624,58
12000,0.812016,0.322217,0.00006647,12000,2.08645272,2.53817580,2.66654564,71.07177734,71.00594330,148.64048082,0.96984689,,63.10000000,0.26851707,63
13000,0.796349,0.305567,0.00006576,13000,2.14387811,2.59652783,2.75488020,73.67552948,74.39955902,150.06837099,0.96982951,,61.86250000,0.26126707,68
