step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.445275,0.00007000,1000,,,,-0.13638373,0.94753504,146.33595213,0.96336623,0.91969353,83.70000000,0.33200000,5
2000,0.968682,0.437925,0.00007000,2000,0.05620297,0.25405663,1.03032438,3.45844293,3.50948811,144.93027490,0.95733785,0.90724488,81.95000000,0.32450000,10
3000,0.953016,0.427967,0.00006995,3000,0.15376733,0.41251642,1.12169944,15.23011398,14.88697338,137.36692663,0.96488011,0.91367316,75.48333333,0.31837130,15
4000,0.937349,0.418150,0.00006983,4000,0.41532721,0.76707383,1.73034723,24.99392700,24.91156769,137.53161431,0.96651418,0.90809392,74.15000000,0.31245644,21
5000,0.921682,0.411213,0.00006965,5000,0.69292967,1.08422015,2.03742015,32.97796249,32.85608292,138.89304779,0.96708491,0.91190819,74.23750000,0.31520644,26
6000,0.906016,0.402213,0.00006939,6000,0.95802778,1.37010119,2.25123558,40.63362503,40.37495041,140.72582225,0.96929397,0.91579109,73.26250000,0.31070644,31
7000,0.890349,0.393213,0.00006907,7000,1.16724274,1.59211804,2.41897250,46.54167175,46.82328415,145.92635107,0.96243339,0.90312114,77.61250000,0.31842797,36
8000,0.874682,0.383800,0.00006868,8000,1.37035354,1.80321509,2.51512140,50.93934631,51.28494263,150.87139988,0.95910723,0.91268323,78.55000000,0.31675000,41
9000,0.859016,0.372438,0.00006822,9000,1.49589531,1.93417551,2.61515381,55.59428787,55.01097488,150.72847417,0.95601999,0.90534603,77.07500000,0.31075000,46
10000,0.843349,0.361113,0.00006770,10000,1.63320100,2.07485721,2.70623585,59.10417175,59.10718918,152.01206049,0.95622850,0.90641990,76.30000000,0.30800000,51
11000,0.827682,0.334630,0.00006712,11000,1.75217196,2.19633793,2.71155078,61.60373306,62.14619827,143.35550596,0.96466206,0.93093351,67.61250000,0.27869841,58
12000,0.812016,0.319193,0.00006647,12000,1.84720806,2.29369968,2.73461674,63.34467697,63.38632202,141.59891499,0.96919956,0.93671568,63.30000000,0.26633578,63
13000,0.796349,0.304455,0.00006576,13000,1.86690398,2.31465252,2.82801132,66.11116028,66.61914825,142.91126652,0.97019393,0.93635002,62.43750000,0.26183578,68
14000,0.780682,0.289455,0.00006498,14000,1.92459446,2.37381148,2.78464099,67.69713593,67.09203339,143.73251513,0.96951839,0.93291531,61.41250000,0.25808578,73
15000,0.765016,0.269443,0.00006415,15000,1.98615099,2.43630823,2.83086176,69.24897003,69.64098358,158.75899341,0.96538378,0.91439587,68.37500000,0.27450000,79
16000,0.749349,0.251518,0.00006326,16000,2.04081187,2.49177245,2.81521607,70.55161285,70.87731171,158.99537583,0.96259871,0.90847901,67.20000000,0.26950000,84
17000,0.733682,0.250000,0.00006232,17000,2.05766264,2.50937154,2.83378868,71.96678925,72.02344513,161.12331839,0.96279122,0.91391762,67.26250000,0.27200000,89
18000,0.718016,0.250000,0.00006132,18000,2.11000690,2.56260954,2.83926252,72.60217285,72.88921356,161.18985971,0.96195595,0.91030874,67.05000000,0.27231030,94
19000,0.702349,0.250000,0.00006027,19000,2.14891628,2.60193467,2.81466725,73.46463776,72.63762665,164.83417549,0.95860138,0.90994102,67.58750000,0.26881030,99
20000,0.686682,0.250000,0.00005917,20000,2.16009085,2.61284382,2.78960512,74.23508453,74.06092072,165.37525096,0.95892767,0.91062966,66.80000000,0.26556030,104
21000,0.671016,0.250000,0.00005803,21000,2.15145050,2.60388393,2.79082410,74.54809570,74.69420624,163.38344873,0.95813348,0.89875203,65.28750000,0.25406030,109
22000,0.655349,0.250000,0.00005684,22000,2.15314474,2.60564699,2.79456013,74.92662811,74.11425781,162.92474574,0.95821225,0.89707685,65.96250000,0.25800000,114
23000,0.639682,0.250000,0.00005560,23000,2.15892209,2.61213926,2.81321491,75.01641846,74.94466400,162.87562525,0.96156500,0.89659104,64.18750000,0.24831545,119
24000,0.624016,0.250000,0.00005433,24000,2.14295624,2.59610041,2.81749448,75.12303162,75.30194092,150.33412264,0.96495978,0.90196165,59.85000000,0.24278993,125
25000,0.608349,0.250000,0.00005302,25000,2.15097627,2.60418745,2.83240116,76.33828735,76.15059662,148.79564894,0.96617010,0.89585367,58.40000000,0.23899212,130
26000,0.592682,0.250000,0.00005167,26000,2.16230444,2.61562507,2.86135711,75.92858124,75.00672150,144.48941943,0.96873363,0.89350061,55.26250000,0.23072678,136
27000,0.577016,0.250000,0.00005029,27000,2.16951821,2.62305641,2.81400202,76.07387543,75.42588043,142.82942821,0.96592486,0.88562253,55.60000000,0.23747678,141
28000,0.561349,0.250000,0.00004888,28000,2.17584251,2.62906803,2.84728146,76.71484375,76.41649628,152.19866403,0.96581606,0.87365044,57.40000000,0.23827485,146
29000,0.545682,0.250000,0.00004744,29000,2.16851960,2.62150359,2.81705501,76.77767944,76.12366486,149.80207263,0.96474018,0.88173818,56.50000000,0.23735109,152
30000,0.530016,0.250000,0.00004598,30000,2.19627078,2.64946809,2.80803630,76.39289093,76.29885101,138.87408102,0.96847007,0.89423010,50.07500000,0.22315930,159
31000,0.514349,0.250000,0.00004450,31000,2.21005250,2.66295202,2.79121446,76.83277130,74.43949890,143.94944199,0.96836038,0.90744080,50.28750000,0.22288674,164
32000,0.498682,0.250000,0.00004300,32000,2.17757393,2.63055331,2.79857871,76.99417877,76.33058929,148.61527130,0.96515142,0.90559807,53.55000000,0.23596505,169
33000,0.483016,0.250000,0.00004149,33000,2.16186632,2.61446088,2.81799777,77.10845184,76.98146820,154.07820249,0.96396890,0.91367226,55.22500000,0.24071505,174
34000,0.467349,0.250000,0.00003996,34000,2.13907929,2.59170872,2.81387124,77.36914062,77.17749023,158.54923963,0.96076016,0.89576938,58.97500000,0.24840034,179
35000,0.451682,0.250000,0.00003843,35000,2.13537768,2.58741184,2.81294210,76.79839325,76.29290009,142.24735106,0.96562457,0.89005062,51.52500000,0.22345273,186
36000,0.436016,0.250000,0.00003689,36000,2.12957885,2.58147882,2.76962535,76.80473328,76.77838898,129.62507575,0.96864968,0.89117362,45.71250000,0.20956349,193
37000,0.420349,0.250000,0.00003534,37000,2.11027291,2.56160595,2.76588332,76.90570831,76.99456787,128.75940721,0.96901732,0.89425959,45.28750000,0.20656511,198
38000,0.404682,0.250000,0.00003380,38000,2.11206664,2.56438716,2.76770826,76.95270538,77.25112915,137.48349496,0.96480257,0.88988622,46.77500000,0.20379238,203
39000,0.389016,0.250000,0.00003226,39000,2.11188155,2.56295670,2.78864671,76.79701996,76.88452148,134.32832400,0.96692734,0.88443634,45.50000000,0.20271915,209
40000,0.373349,0.250000,0.00003073,40000,2.08660962,2.53777507,2.79138526,76.72814941,76.76096344,146.97990017,0.96526295,0.88050672,48.95000000,0.20210839,214
41000,0.357682,0.250000,0.00002920,41000,2.08989040,2.54114862,2.79408332,76.52803802,76.73226929,149.78296332,0.96286586,0.87305608,49.85000000,0.20543659,220
42000,0.342016,0.250000,0.00002769,42000,2.08946944,2.54078189,2.77236505,76.96765900,75.92595673,146.62014529,0.96430404,0.86848949,48.78750000,0.20300186,225
43000,0.326349,0.250000,0.00002620,43000,2.11846823,2.56979445,2.77138560,77.03073883,76.14557648,156.07414104,0.95993704,0.87445057,52.61250000,0.21557107,230
44000,0.310682,0.250000,0.00002472,44000,2.10024112,2.55145339,2.78283711,77.14647675,77.12544250,153.82933281,0.95781691,0.86346148,50.22500000,0.20560768,236
45000,0.295016,0.250000,0.00002326,45000,2.08535966,2.53619551,2.81429512,76.92374420,74.23615265,153.69454551,0.95835065,0.86586567,52.68750000,0.22085768,241
46000,0.279349,0.250000,0.00002183,46000,2.07800157,2.52874591,2.76408995,76.49684906,75.12085724,152.04754800,0.95762861,0.87894423,53.26250000,0.22677867,246
47000,0.263682,0.250000,0.00002043,47000,2.08355630,2.53464345,2.79073793,76.60422516,75.53385162,152.68323949,0.95899700,0.88085707,52.25000000,0.22352867,251
48000,0.248016,0.250000,0.00001906,48000,2.05865741,2.50913587,2.78854978,76.33810425,74.56087494,155.42843399,0.95542575,0.88240779,56.81250000,0.24476190,256
49000,0.232349,0.250000,0.00001772,49000,2.07069250,2.52199919,2.80410160,76.58434296,76.19783783,154.30188169,0.95202145,0.87493128,55.33750000,0.23926190,261
50000,0.216682,0.250000,0.00001641,50000,2.04960447,2.50005308,2.77663824,76.22411346,76.48146820,159.31056002,0.95300349,0.86736530,56.65000000,0.23950000,266
