step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.445313,0.00007000,1000,,,,-0.14284329,2.53928399,154.71776526,0.96171467,,83.75000000,0.33200000,5
2000,0.968682,0.438000,0.00007000,2000,0.22124703,0.51078306,2.24245546,9.87347317,9.83877468,154.85563887,0.95699208,,82.00000000,0.32450000,10
3000,0.953016,0.429628,0.00006995,2998,0.81803598,1.19694440,2.34892718,35.66459274,35.01045609,147.49015061,0.96402715,,75.93333333,0.32145162,15
4000,0.937349,0.420100,0.00006983,3998,1.72430058,2.15541851,2.55659432,51.80946732,51.33007431,148.10340844,0.96627548,,74.66250000,0.31512098,21
5000,0.921682,0.412338,0.00006965,4998,2.30948999,2.75524965,2.74013067,61.28807449,59.93821716,149.05783854,0.96759182,,74.46250000,0.31562098,26
6000,0.906016,0.403975,0.00006939,5998,2.73068546,3.18363795,2.84866221,68.94164276,68.60147095,150.41560776,0.96960092,,73.68750000,0.31137098,31
7000,0.890349,0.394563,0.00006907,6998,2.95957227,3.41595876,2.89456127,72.90807343,72.62276459,156.90268062,0.96347517,,77.62500000,0.31453226,36
8000,0.874682,0.384925,0.00006868,7998,3.11519669,3.57365566,2.95121815,75.26407623,75.70641327,160.35739566,0.95998180,,78.27500000,0.31125000,41
9000,0.859016,0.371950,0.00006822,8998,3.20322584,3.66241301,2.94781992,77.46898651,75.89916229,161.49185106,0.95846747,,76.53750000,0.30325000,46
10000,0.843349,0.360513,0.00006770,9998,3.23831332,3.69831733,3.04751400,78.97247314,76.65125275,162.66942995,0.95835782,,75.51250000,0.29875000,51
11000,0.827682,0.338647,0.00006712,10998,3.35950202,3.82033121,3.02874080,79.27894592,78.86768341,150.55944328,0.96569464,,67.12500000,0.28124624,58
12000,0.812016,0.324344,0.00006647,11998,3.38093553,3.84200191,2.96071861,79.31655121,78.25995636,148.49702377,0.96982582,,63.30000000,0.26901707,63
13000,0.796349,0.306794,0.00006576,12998,3.38360461,3.84484317,2.99668205,80.19016266,79.17060089,150.00059480,0.96968021,,61.73750000,0.26101707,68
14000,0.780682,0.290781,0.00006498,13998,3.37914551,3.84032846,3.01377722,80.45119476,78.95000458,151.34834729,0.96898316,,60.57500000,0.25601707,73
15000,0.765016,0.273405,0.00006415,14998,3.42189174,3.88295531,2.96848666,80.74649048,79.81339264,164.35113838,0.96700624,,65.35000000,0.25708829,78
16000,0.749349,0.256155,0.00006326,15998,3.41562316,3.87702087,3.02023321,80.59049225,78.63069153,169.63974032,0.96359634,,66.25000000,0.25381746,83
17000,0.733682,0.250000,0.00006232,16998,3.47788116,3.93984937,3.01046809,81.54537201,80.68784332,170.38455307,0.96254034,,66.76250000,0.25906746,88
18000,0.718016,0.250000,0.00006132,17998,3.43480768,3.89664147,2.99743885,81.77095795,82.05092621,171.27011747,0.96258271,,66.75000000,0.25906746,93
19000,0.702349,0.250000,0.00006027,18998,3.49210248,3.95443462,3.00826057,81.78517914,80.92066193,174.87407404,0.95870178,,66.07500000,0.25375000,98
20000,0.686682,0.250000,0.00005917,19998,3.48538897,3.94753043,2.97822725,82.59149170,79.71322632,175.23475983,0.95786384,,65.21250000,0.24750000,103
21000,0.671016,0.250000,0.00005803,20998,3.49016924,3.95197173,3.01602978,82.14699554,80.69420624,175.81052783,0.95769326,,62.91250000,0.23375000,108
22000,0.655349,0.250000,0.00005684,21998,3.49699402,3.95932489,3.07827683,82.31210327,82.42862701,176.06771057,0.95841668,,62.46250000,0.23150000,113
23000,0.639682,0.250000,0.00005560,22998,3.47662694,3.93895639,3.04562517,82.50128937,80.94688416,176.95126334,0.96206882,,61.85000000,0.22425000,118
