step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.445312,0.00007000,1000,,,,-1.01653445,-0.01611198,154.71536291,0.96170871,,83.75000000,0.33200000,5
2000,0.968682,0.438562,0.00007000,2000,3.88511287,4.28001749,0.14106597,2.48121095,2.60998416,154.70605656,0.95711401,,82.37500000,0.32600000,10
3000,0.953016,0.430392,0.00006995,3000,3.59126659,4.58103738,0.06448592,14.75841808,14.67223358,147.34532432,0.96413085,,76.26666667,0.32245162,15
4000,0.937349,0.421119,0.00006983,4000,2.90314135,5.12435128,0.07621228,22.80569458,22.91021729,147.95239006,0.96644891,,75.01250000,0.31587098,21
5000,0.921682,0.413581,0.00006965,5000,2.05320896,6.14276667,0.12722849,27.04388428,26.95828438,148.85761879,0.96774661,,74.87500000,0.31662098,26
6000,0.906016,0.406756,0.00006939,6000,1.10576444,6.87031383,0.19644478,28.61116028,28.84805298,150.06505953,0.96978236,,74.43750000,0.31337098,31
7000,0.890349,0.398769,0.00006907,7000,0.54500469,7.37093618,0.25492348,29.13857079,29.25754356,156.31959938,0.96361036,,78.82500000,0.31878226,36
8000,0.874682,0.390706,0.00006868,8000,0.37021451,7.60169523,0.29276325,29.29915428,29.38323402,159.54760197,0.96014478,,79.86250000,0.31825000,41
9000,0.859016,0.381219,0.00006822,9000,0.32233081,7.65593600,0.29805757,29.35341835,29.14913940,160.17091951,0.95868461,,79.21250000,0.31325000,46
10000,0.843349,0.372069,0.00006770,10000,0.31412913,7.64849394,0.28619395,29.39766502,29.19995689,161.16000224,0.95880836,,78.43750000,0.30825000,51
11000,0.827682,0.352501,0.00006712,11000,0.32573069,7.54132140,0.29435516,29.20183563,29.36004639,148.97871019,0.96596538,,69.86250000,0.28924624,58
12000,0.812016,0.344051,0.00006647,12000,0.37899484,7.36718886,0.29577803,29.11605263,28.88564110,146.31592124,0.97028975,,67.48750000,0.28126707,63
13000,0.796349,0.332913,0.00006576,13000,0.43603687,7.25581176,0.26952251,28.98519325,29.12778282,147.28120348,0.96992573,,66.86250000,0.27926707,68
14000,0.780682,0.323838,0.00006498,14000,0.47620922,7.18493899,0.26516078,28.89391899,28.79458427,147.78605583,0.96898795,,67.30000000,0.28426707,73
15000,0.765016,0.313022,0.00006415,15000,0.50694660,7.16247231,0.26159787,28.62014580,28.79950142,159.91675653,0.96707306,,73.60000000,0.29373512,78
16000,0.749349,0.303647,0.00006326,16000,0.53955448,7.10693118,0.26215423,28.73912621,28.61205482,164.49819482,0.96321434,,75.35000000,0.29796429,83
17000,0.733682,0.294722,0.00006232,17000,0.57454219,7.02206925,0.25808825,28.78556061,28.84760857,164.88234543,0.96250807,,76.08750000,0.30371429,88
18000,0.718016,0.284934,0.00006132,18000,0.59991447,6.98376896,0.24545512,28.55270195,28.63080597,165.78545885,0.96288074,,75.85000000,0.30146429,93
19000,0.702349,0.273309,0.00006027,19000,0.62102358,6.94928400,0.25629701,28.58288383,28.42222786,169.12473771,0.95883908,,76.76250000,0.30300000,98
20000,0.686682,0.264572,0.00005917,20000,0.63628442,6.91565017,0.24837927,28.42549706,28.29047585,169.61216638,0.95775333,,76.97500000,0.30350000,103
21000,0.671016,0.252347,0.00005803,21000,0.65265425,6.87876908,0.25018438,28.53173065,28.36148071,170.44143794,0.95662426,,75.87500000,0.29725000,108
22000,0.655349,0.250975,0.00005684,22000,0.64110609,6.87563123,0.23843545,28.58565712,28.65435028,170.81739931,0.95708692,,77.85000000,0.30600000,113
23000,0.639682,0.250000,0.00005560,23000,0.64107591,6.86825869,0.24261996,28.57190895,28.37035179,172.21036675,0.95996019,,76.68750000,0.29925000,118
24000,0.624016,0.250000,0.00005433,24000,0.64339901,6.85154073,0.23665242,28.53006554,28.66918945,160.96174026,0.96439699,,69.42500000,0.29526942,125
25000,0.608349,0.250000,0.00005302,25000,0.65400297,6.81664895,0.23553138,28.37865257,28.23195076,161.05612939,0.96601101,,69.40000000,0.29657253,130
26000,0.592682,0.250000,0.00005167,26000,0.67925347,6.80044375,0.23254137,28.29664612,28.17785645,160.67139642,0.96638630,,68.71250000,0.29433055,135
27000,0.577016,0.250000,0.00005029,27000,0.69137248,6.79278840,0.24289250,28.33509064,28.16156769,156.12405368,0.96563396,,68.50000000,0.30309406,140
28000,0.561349,0.250000,0.00004888,28000,0.69375706,6.78999135,0.25151980,28.34758186,28.52893639,166.84945850,0.96617877,,71.80000000,0.29144515,146
29000,0.545682,0.250000,0.00004744,29000,0.68243113,6.80768740,0.23733002,28.45838356,28.34171867,162.49633904,0.96437825,,69.07500000,0.29025183,151
30000,0.530016,0.250000,0.00004598,30000,0.68621833,6.77334379,0.24991898,28.41039848,28.49365997,150.25742129,0.97058181,,63.50000000,0.28130078,158
31000,0.514349,0.250000,0.00004450,31000,0.67720186,6.80402850,0.24044023,28.44292641,28.00023460,150.63680062,0.96997871,,61.50000000,0.27680078,163
32000,0.498682,0.250000,0.00004300,32000,0.68008974,6.77461145,0.24295471,28.49685669,28.55750275,157.90448306,0.96642057,,64.22500000,0.27956246,168
33000,0.483016,0.250000,0.00004149,33000,0.66910825,6.79528745,0.24060948,28.35911751,28.50884438,161.93071562,0.96494235,,65.93750000,0.27305056,173
34000,0.467349,0.250000,0.00003996,34000,0.66394120,6.81225031,0.23752121,28.48860931,28.60253906,168.58502603,0.95976210,,68.58750000,0.28476068,179
35000,0.451682,0.250000,0.00003843,35000,0.67703038,6.79465630,0.24251166,28.57366371,28.63214684,154.40498880,0.96560091,,61.95000000,0.26629771,186
36000,0.436016,0.250687,0.00003689,36000,0.68599126,6.79302265,0.23378820,28.20958519,28.13673210,142.54884127,0.96952601,,56.50000000,0.27309614,192
37000,0.420349,0.250000,0.00003534,37000,0.69259284,6.79054033,0.23668116,28.31976128,28.47563362,141.43665144,0.96901554,,56.01250000,0.27481659,198
38000,0.404682,0.250000,0.00003380,38000,0.70391031,6.79799874,0.22835317,28.36594200,28.24556923,149.59916361,0.96480785,,60.42500000,0.28501344,203
39000,0.389016,0.255250,0.00003226,39000,0.70537344,6.75145597,0.25636774,28.36593819,28.20326805,146.96868407,0.96692802,,60.78750000,0.30409757,209
40000,0.373349,0.250000,0.00003073,40000,0.69592559,6.78832065,0.23720641,28.24837494,28.12354469,160.15753785,0.96548779,,62.81250000,0.28129914,214
41000,0.357682,0.250000,0.00002920,41000,0.69771600,6.79876336,0.23743208,28.32620239,28.49864769,163.43756630,0.96329907,,63.90000000,0.27778770,219
42000,0.342016,0.250000,0.00002769,42000,0.70225185,6.76151621,0.23582322,28.28698730,28.41637611,164.38452807,0.96575263,,62.07500000,0.26528770,224
43000,0.326349,0.250000,0.00002620,43000,0.71153628,6.75551680,0.23708162,28.20242310,28.35504723,170.47792890,0.96240711,,62.46250000,0.24363876,229
44000,0.310682,0.250000,0.00002472,44000,0.72255596,6.77218120,0.22461168,28.34922791,28.49716377,168.11621849,0.96363562,,58.98750000,0.23473355,235
45000,0.295016,0.250000,0.00002326,45000,0.72007494,6.78248328,0.22620821,28.24529076,28.19676781,170.84416065,0.96089544,,59.32500000,0.23451385,240
46000,0.279349,0.250000,0.00002183,46000,0.71352400,6.77739857,0.23116568,28.09321022,28.30091286,173.31010591,0.95989013,,60.67500000,0.23484479,245
47000,0.263682,0.250000,0.00002043,47000,0.72648578,6.76423817,0.23319153,28.27982140,27.84651375,167.33312076,0.96143595,,58.90000000,0.25745842,250
48000,0.248016,0.250000,0.00001906,48000,0.73444749,6.75552771,0.23278589,28.26034737,28.39975929,169.24503845,0.95678094,,61.52500000,0.26886364,255
49000,0.232349,0.250000,0.00001772,49000,0.73638164,6.76554416,0.23119163,28.21672630,28.11768150,169.17291221,0.95323281,,58.97500000,0.26186364,260
50000,0.216682,0.250000,0.00001641,50000,0.74235844,6.75903272,0.22805445,28.25863647,28.03120422,169.12146362,0.95462457,,60.28750000,0.27211364,265
51000,0.201016,0.250000,0.00001515,51000,0.73494584,6.77305506,0.22060678,28.23523140,28.39610291,175.59694740,0.95310249,,60.08750000,0.24400000,270
52000,0.185349,0.250000,0.00001392,52000,0.73891096,6.77306500,0.22834771,28.29940224,28.45693398,176.40688881,0.95876158,,61.37500000,0.24225000,275
53000,0.169682,0.250000,0.00001274,53000,0.74432032,6.77104000,0.22894030,28.27488708,28.43648338,171.23076027,0.96545796,,63.02500000,0.26372468,281
54000,0.154016,0.250000,0.00001160,54000,0.74580964,6.78197661,0.22222726,28.20670891,28.09399986,170.24569089,0.96299442,,65.00000000,0.27372468,286
55000,0.138349,0.250000,0.00001051,55000,0.75168453,6.75871578,0.22947829,27.93490601,28.15306664,164.15482941,0.96392819,,65.81250000,0.29913857,292
56000,0.122682,0.250000,0.00000947,56000,0.76159595,6.76777693,0.23210742,28.07595062,27.96449280,160.38910868,0.96368069,,63.31250000,0.29217839,297
57000,0.107016,0.250000,0.00000848,57000,0.76397842,6.77509874,0.23386037,28.04940033,27.71854210,166.77694035,0.96179281,,60.66250000,0.26020371,302
58000,0.091349,0.250000,0.00000755,58000,0.76926344,6.76324580,0.24791395,28.09926796,28.24560547,171.69482518,0.95661517,,55.65000000,0.22245843,307
59000,0.075682,0.250000,0.00000667,59000,0.77912226,6.75222576,0.23754872,28.03171349,28.19288063,172.11872415,0.95959391,,58.20000000,0.23371053,313
60000,0.060016,0.250000,0.00000586,60000,0.78604432,6.76351814,0.23339794,27.93416595,27.84819031,168.12653386,0.95989858,,56.01250000,0.23175682,318
61000,0.060000,0.250000,0.00000510,61000,0.79510300,6.74279375,0.23235590,27.99314117,28.16634369,167.75397030,0.96247326,,59.56250000,0.23025682,323
62000,0.060000,0.250000,0.00000440,62000,0.80476060,6.73751845,0.23581857,28.04594421,28.21965981,161.50370365,0.96798756,,58.17500000,0.23030030,329
63000,0.060000,0.250000,0.00000376,63000,0.81697008,6.73901526,0.22975814,27.96800804,27.51827049,162.29539598,0.96485198,,58.30000000,0.22366848,335
64000,0.060000,0.250000,0.00000319,64000,0.82033429,6.74486684,0.21991571,28.09160614,28.20303535,163.41320330,0.96820664,,56.51250000,0.21741848,340
65000,0.060000,0.250000,0.00000268,65000,0.82204349,6.74116482,0.23060575,28.13105583,27.97421265,154.90174965,0.96936812,,53.68750000,0.21341848,346
66000,0.060000,0.250000,0.00000224,66000,0.82183504,6.73706750,0.23283921,27.87583923,28.05014992,160.82855357,0.96131464,,54.33750000,0.21762500,351
