step,epsilon,lambda_cost,lr,buffer_size,loss_mean,td_abs_mean,grad_norm_mean,q_pred_mean,q_target_mean,ep_ret_ma,ep_consistency_ma,ep_teacher_iou_ma,ep_comp_ma,ep_full_frac_ma,episodes_done
1000,0.984349,0.445313,0.00007000,1000,,,,-0.13717104,0.93917632,154.71776526,0.96171467,,83.75000000,0.33200000,5
2000,0.968682,0.439650,0.00007000,2000,0.03071314,0.28284587,0.57622944,3.75771427,3.68985748,154.40382152,0.95714337,,83.10000000,0.33000000,10
3000,0.953016,0.431937,0.00006995,3000,0.12168361,0.93328533,0.43837214,16.76300430,15.95949554,146.67347258,0.96403255,,77.71666667,0.32333435,15
4000,0.937349,0.418886,0.00006983,4000,0.31060256,2.08143123,0.66468393,27.24802208,24.82427979,147.77748830,0.96613764,,75.16250000,0.31330721,21
5000,0.921682,0.411948,0.00006965,5000,0.47264550,3.01631324,0.76050427,35.61793518,35.54291916,148.88161772,0.96742989,,74.70000000,0.31255721,26
6000,0.906016,0.403923,0.00006939,6000,0.60310974,3.77095938,0.84611445,42.83558273,41.39787292,150.38120351,0.96980063,,73.80000000,0.30780721,31
7000,0.890349,0.394586,0.00006907,7000,0.69315581,4.35514752,0.87293409,49.02149582,47.97916031,157.14117895,0.96398939,,77.30000000,0.31205645,36
8000,0.874682,0.386748,0.00006868,8000,0.78424997,4.99372735,0.88747099,53.98121643,50.40739822,160.12295431,0.96096596,,79.28750000,0.31325000,41
9000,0.859016,0.371786,0.00006822,9000,0.83779674,5.42151227,0.90159980,58.60563660,54.98762131,161.56427329,0.95950379,,76.61250000,0.29925000,46
10000,0.843349,0.355961,0.00006770,10000,0.87959562,5.75791567,0.90563449,62.36407471,60.60940933,163.33429104,0.95925980,,74.01250000,0.28775000,51
11000,0.827682,0.334167,0.00006712,11000,0.93624020,6.18003677,0.93330556,65.48380280,61.65177536,150.94994109,0.96555963,,66.40000000,0.27398684,58
12000,0.812016,0.318992,0.00006647,12000,0.95015716,6.48053291,0.92447613,67.70761871,62.68110275,148.95192152,0.96938676,,62.50000000,0.26452851,63
13000,0.796349,0.303204,0.00006576,13000,0.96199038,6.69788804,0.92077719,70.24591827,67.94875336,149.91129145,0.96951940,,62.92500000,0.26477851,68
14000,0.780682,0.288242,0.00006498,14000,0.96060969,6.96965538,0.88484231,71.92484283,70.42056274,151.01206688,0.96908819,,62.61250000,0.26352851,73
15000,0.765016,0.270021,0.00006415,15000,0.97407925,7.11410037,0.90997656,73.99213409,68.70145416,164.60867918,0.96719269,,65.46250000,0.26103373,78
16000,0.749349,0.252846,0.00006326,16000,0.96019114,7.24333013,0.90424899,75.27190399,69.08385468,169.82737945,0.96361887,,66.63750000,0.25824206,83
17000,0.733682,0.250000,0.00006232,17000,0.94874814,7.32292049,0.89229141,76.14649200,75.06213379,170.77534164,0.96241350,,66.07500000,0.25774206,88
18000,0.718016,0.250000,0.00006132,18000,0.93630729,7.47798706,0.87319147,77.12245941,72.33306885,171.90438114,0.96271122,,65.12500000,0.25224206,93
19000,0.702349,0.250000,0.00006027,19000,0.93846940,7.60477593,0.87754478,78.09128571,71.16246796,174.98034736,0.95879532,,66.26250000,0.25150000,98
